pair_id,set_type,cls,gt_rank,best_gterr,deep_gterr,n_cands,mode_strong,gt_in_top1,gt_in_top5,gt_in_top10,gt_in_top20,gt_in_top50,gt_in_top100,gt_in_top200,gt_in_deep_pool
pair_000,SetA,R3,,5.469657832035542,0.469674207563254,200,1,False,False,False,False,False,False,False,True
pair_001,SetA,R1,1.0,0.15627747241540102,0.15627747241540102,200,1,True,True,True,True,True,True,True,True
pair_002,SetA,R4,,10.209352768833655,7.546221079049884,200,0,False,False,False,False,False,False,False,False
pair_003,SetA,R2,105.0,3.701555692844685,3.30835030022173,200,1,False,False,False,False,False,False,True,True
pair_004,SetA,R2,26.0,0.5258449567686486,0.5258449567686486,200,0,False,False,False,False,True,True,True,True
pair_005,SetA,R2,6.0,3.65055932236671,0.6078824461536886,200,0,False,False,True,True,True,True,True,True
pair_006,SetA,R2,37.0,3.307270867607608,9.304130026920651,200,0,False,False,False,False,True,True,True,False
pair_007,SetA,R1,1.0,0.46399244774121434,0.46399244774121434,200,0,True,True,True,True,True,True,True,True
pair_008,SetA,R2,6.0,3.978082587335567,0.15365701744186908,200,1,False,False,True,True,True,True,True,True
pair_009,SetA,R2,3.0,0.04769432197196644,0.04769432197196644,200,1,False,True,True,True,True,True,True,True
pair_010,SetA,R1,1.0,0.4638655022163954,0.4638655022163954,200,1,True,True,True,True,True,True,True,True
pair_011,SetA,R1,1.0,0.3796304028023408,0.3796304028023408,200,1,True,True,True,True,True,True,True,True
pair_012,SetA,R1,1.0,0.2637083177546133,0.2637083177546133,200,1,True,True,True,True,True,True,True,True
pair_013,SetA,R1,1.0,0.2978703643747182,0.2978703643747182,200,1,True,True,True,True,True,True,True,True
pair_014,SetA,R4,,5.68231902238409,5.68231902238409,200,1,False,False,False,False,False,False,False,False
pair_015,SetA,R1,1.0,0.24011216274098207,0.24011216274098207,200,0,True,True,True,True,True,True,True,True
pair_016,SetA,R2,3.0,0.36945569463634087,0.36945569463634087,200,1,False,True,True,True,True,True,True,True
pair_017,SetA,R2,3.0,3.548604804050561,3.548604804050561,200,0,False,True,True,True,True,True,True,True
pair_018,SetA,R4,,7.670781024274127,12.74471927642899,200,1,False,False,False,False,False,False,False,False
pair_019,SetA,R1,1.0,0.5749702477497144,0.5749702477497144,200,1,True,True,True,True,True,True,True,True
pair_020,SetA,R2,81.0,0.4178639773444945,0.4178639773444945,200,1,False,False,False,False,False,True,True,True
pair_021,SetA,R1,1.0,0.29302340417425976,0.29302340417425976,200,1,True,True,True,True,True,True,True,True
pair_022,SetA,R1,1.0,0.5779999987101482,0.5779999987101482,200,0,True,True,True,True,True,True,True,True
pair_023,SetA,R1,1.0,0.6515770767601963,0.6515770767601963,200,0,True,True,True,True,True,True,True,True
pair_024,SetA,R4,,5.02796087633543,5.02796087633543,200,0,False,False,False,False,False,False,False,False
pair_025,SetA,R1,1.0,0.4007024107691836,0.4007024107691836,200,0,True,True,True,True,True,True,True,True
pair_026,SetA,R1,1.0,0.09167048776171266,0.09167048776171266,200,1,True,True,True,True,True,True,True,True
pair_027,SetA,R2,10.0,3.453110282304781,0.6226724524449745,200,0,False,False,True,True,True,True,True,True
pair_028,SetA,R1,1.0,0.14548934192212729,0.14548934192212729,200,0,True,True,True,True,True,True,True,True
pair_029,SetA,R2,90.0,0.5532798236368335,0.5532798236368335,200,1,False,False,False,False,False,True,True,True
pair_030,SetA,R4,,5.88854704993119,5.88854704993119,200,0,False,False,False,False,False,False,False,False
pair_031,SetA,R4,,54.459225177339974,65.44792772333986,200,1,False,False,False,False,False,False,False,False
pair_032,SetA,R2,15.0,0.14218607947693748,0.14218607947693748,200,1,False,False,False,True,True,True,True,True
pair_033,SetA,R1,1.0,0.019423389437072804,0.019423389437072804,200,1,True,True,True,True,True,True,True,True
pair_034,SetA,R4,,6.783020109220472,6.783020109220472,200,0,False,False,False,False,False,False,False,False
pair_035,SetA,R1,1.0,0.4268925575822685,0.4268925575822685,200,0,True,True,True,True,True,True,True,True
pair_036,SetA,R4,,6.451639930569365,6.451639930569365,200,0,False,False,False,False,False,False,False,False
pair_037,SetA,R1,1.0,0.48142570647768745,0.48142570647768745,200,0,True,True,True,True,True,True,True,True
pair_038,SetA,R2,4.0,0.5109644716097187,0.5109644716097187,200,1,False,True,True,True,True,True,True,True
pair_039,SetA,R2,2.0,0.5414501565099585,0.5414501565099585,200,0,False,True,True,True,True,True,True,True
pair_040,SetA,R4,,5.187067207266766,5.187067207266766,200,0,False,False,False,False,False,False,False,False
pair_041,SetA,R2,7.0,0.18464288854023617,0.18464288854023617,200,0,False,False,True,True,True,True,True,True
pair_042,SetA,R3,,5.42155350690722,0.424334901975661,200,1,False,False,False,False,False,False,False,True
