pair_id,attempt,self_amb,preset,kind,z,theta,severity,hard,present,p_preset,p_kind,p_zone_mat_nm,p_zone_strip_nm,p_zone_phase_x,p_zone_phase_y,p_linewidth_bias_nm,p_bl_pitch,p_wl_pitch,p_bl_w,p_wl_w,p_cont_r,drift_dx,drift_dy,corner_max_nm,v_ship,v_reason,v_peak_err,v_peak_val,v_margin,v_ncc_at_gt,v_grad_ncc_at_gt,v_prominence,v_competitor,v_gt_rank,v_rec_1px,v_rec_2px,v_rec_5px,v_degraded_floor,p_decoy_preset,v_absent_peak,DROPPED,p_fin_pitch,p_gate_pitch,p_fin_w,p_gate_w
v00000,0.0,0.3056211471557617,dram_legacy,dram,11.465489463630528,-2.841247362556291,1.0,nominal,True,dram_legacy,dram,3277.2574335879194,414.5550274417425,1674.0220032839989,338.6552967596278,0.8295280770784635,128.0,150.0,52.829528077078464,58.829528077078464,30.829528077078464,0.11074186916424439,0.06400063486204238,6009.862810893249,True,ok,0.1821275241084693,0.9514745473861694,0.1637842059135437,0.9514745473861694,0.8091604709625244,0.6275625228881836,0.7876903414726257,1,1,1,1,0,,,,,,,
v00001,0.0,-1.0,dram_loose,dram,9.359213260793984,4.964899253599889,0.0,nominal,False,dram_loose,dram,2783.6999414706456,417.71368394691893,824.0015665512884,1469.9452094310673,0.4351760371939669,86.0,118.0,34.43517603719397,42.43517603719397,23.435176037193965,0.0,0.0,5067.0468879114105,True,absent_ok,-1.0,,-1.0,-1.0,-1.0,,,-1,0,0,0,0,dram_1x,0.3071209490299225,,,,,
v00002,0.0,0.35578596591949463,dram_dense,dram,9.12140743027045,-4.836872553842603,0.0,nominal,True,dram_dense,dram,2625.8937905821836,238.7224002175022,27.001802917941703,1182.4941059019027,-0.5784594204297255,48.0,66.0,19.421540579570273,23.421540579570273,12.421540579570275,0.0,0.0,4929.016654774081,True,ok,0.3607683292086509,0.9480435252189636,0.16816747188568115,0.9480435252189636,0.8636018633842468,0.7522346079349518,0.7798760533332825,1,1,1,1,0,,,,,,,
v00003,1.0,0.20795750617980957,dram_legacy,dram,10.174448594166337,1.344355213104146,1.0,nominal,True,dram_legacy,dram,1798.1575799982422,313.0038721182694,1719.944513103214,839.4720612526768,1.287063756038369,128.0,150.0,53.28706375603837,59.28706375603837,31.287063756038368,-0.07055243451696529,-0.12066135372836698,5205.17677337129,True,ok,1.2613056264680895,0.9492278695106506,0.12990939617156982,0.9492278695106506,0.8203102946281433,0.7245328426361084,0.8193184733390808,1,0,1,1,0,,,,,,,
v00004,2.0,0.3406928777694702,dram_loose,dram,8.795541632531881,2.376813509667289,0.0,nominal,True,dram_loose,dram,2334.2005843232446,251.6739021456837,920.1415167150453,2304.6327783124902,0.4103202183756723,86.0,118.0,34.410320218375674,42.410320218375674,23.410320218375674,0.0,0.0,4576.368771490995,True,ok,0.8682024984942619,0.978736162185669,0.1639624834060669,0.978736162185669,0.935958743095398,0.7711609601974487,0.814773678779602,1,1,1,1,0,,,,,,,
v00005,3.0,0.3962620496749878,dram_legacy,dram,8.22413772732357,0.6131345219056747,0.0,nominal,True,dram_legacy,dram,2620.6894936309714,305.95151825859045,1619.63976978082,2161.555121793968,-0.472958352137639,128.0,150.0,51.52704164786236,57.52704164786236,29.52704164786236,0.0,0.0,4155.836714949932,True,ok,0.24771348688448636,0.9793390035629272,0.2767401933670044,0.9793390035629272,0.915492057800293,0.7114522755146027,0.7025988101959229,1,1,1,1,0,,,,,,,
v00006,0.0,0.2953488826751709,dram_legacy,dram,9.83729035482385,1.3073799371310137,1.0,nominal,True,dram_legacy,dram,2127.601426877088,365.74648892496293,2047.3912197056177,898.0541964898324,4.124894174185519,128.0,150.0,56.12489417418552,62.12489417418552,34.12489417418552,0.191272191762616,-0.0391353998543095,5029.589071860468,True,ok,0.6568256608425674,0.9580047726631165,0.1544961929321289,0.9580047726631165,0.8543078899383545,0.7047941386699677,0.8035085797309875,1,1,1,1,0,,,,,,,
v00007,0.0,-1.0,dram_dense,dram,10.047344736358497,-3.6163218876004377,1.0,nominal,False,dram_dense,dram,3274.0631661033094,425.69279094097357,2189.366348606836,3310.9140881839257,-1.6415566991877268,48.0,66.0,18.358443300812272,22.358443300812272,11.358443300812272,-0.08110594676033264,-0.20924361062959557,5330.536493691713,True,absent_ok,-1.0,,-1.0,-1.0,-1.0,,,-1,0,0,0,0,dram_wide,0.2640608549118042,,,,,
v00008,1.0,0.27460598945617676,dram_legacy,dram,11.268190979728937,-1.2022604230366838,0.0,nominal,True,dram_legacy,dram,2678.4328547902132,388.5039582942206,2841.171269091112,2817.4017368930654,0.9464198097671037,128.0,150.0,52.94641980976711,58.94641980976711,30.946419809767104,0.0,0.0,5751.069000169479,True,ok,1.1900292083379096,0.9655635356903076,0.12963104248046875,0.9655635356903076,0.8789140582084656,0.6932946145534515,0.8359324932098389,1,0,1,1,0,,,,,,,
v00009,0.0,-1.0,dram_wide,dram,8.730324042500033,4.254645961944233,1.0,nominal,False,dram_wide,dram,2876.794586186311,360.2599739122559,216.20323996671968,3096.7099022850575,-1.0886067338051282,104.0,76.0,42.91139326619487,26.91139326619487,19.91139326619487,-0.25420028101803327,-0.06844947364222821,4676.980939789108,True,absent_ok,-1.0,,-1.0,-1.0,-1.0,,,-1,0,0,0,0,dram_wide,0.1916414499282837,,,,,
v00010,1.0,0.28248465061187744,dram_1x,dram,8.074538761909876,2.746464995294029,0.0,nominal,True,dram_1x,dram,2634.3564396174743,362.8658910370229,252.69932531086042,948.9773003001927,-2.8078884018670514,64.0,88.0,23.19211159813295,29.19211159813295,14.192111598132948,0.0,0.0,4226.083776545201,True,ok,0.29332008097510387,0.9687173962593079,0.1516324281692505,0.9687173962593079,0.8844189643859863,0.5608891248703003,0.8170849680900574,1,1,1,1,0,,,,,,,
v00011,0.0,-1.0,dram_legacy,dram,10.729612482301874,3.5928941296602055,0.0,nominal,False,dram_legacy,dram,2868.619204934473,408.63667931296806,2989.341939180442,1602.9702354014923,-2.1737728153468203,128.0,150.0,49.82622718465318,55.82622718465318,27.82622718465318,0.0,0.0,5690.456691497094,True,absent_ok,-1.0,,-1.0,-1.0,-1.0,,,-1,0,0,0,0,dram_loose,0.34860897064208984,,,,,
v00012,0.0,0.2563667893409729,dram_wide,dram,8.96115923057279,0.2962678900108262,1.0,nominal,True,dram_wide,dram,3369.2604033199104,372.514048250035,669.9912568718731,1116.869503439556,0.534215492967432,104.0,76.0,44.534215492967434,28.534215492967434,21.534215492967434,0.14382986543183507,0.016296963139296464,4503.688017767475,True,ok,1.0633018991545466,0.9569898247718811,0.2504156231880188,0.9569898247718811,0.831306517124176,0.6561629176139832,0.7065742015838623,1,0,1,1,0,,,,,,,
