pair_id,runtime,presence,found,top1,top5,top10,top20,top50,top100,top200,deep_pool,gt_rank,best_gterr,sel_err,cls
v00000,5.782684326171875,0.7717754366084505,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.840013553340837,,R1
v00001,5.550137519836426,0.7195620028180125,0,,,,,,,,,,,,ABSENT
v00002,5.853851795196533,0.8456674105614337,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3607683292086509,314.8078904628351,R2
v00003,5.584179639816284,0.863965752216156,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5546353654333762,0.643049073824354,R1
v00004,5.9077184200286865,0.7481567659873821,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,19.0,0.8682024984942619,,R2
v00005,5.693896770477295,0.7400091239890527,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,17.0,0.2477134868844995,,R2
v00006,5.523318290710449,0.8988350985333552,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44364696505829,0.6563731616382061,R1
v00007,5.755365371704102,0.8022413092039349,0,,,,,,,,,,,,ABSENT
v00008,5.116885185241699,0.8865021696749222,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48300745268048617,0.5839978453723803,R1
v00009,6.010355472564697,0.8528916296370326,1,,,,,,,,,,,,ABSENT
v00010,5.837321043014526,0.9255120138445896,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9219291419720573,0.736360648073265,R1
v00011,5.152683973312378,0.9074290099468636,1,,,,,,,,,,,,ABSENT
v00012,4.947722673416138,0.8911134271177715,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0731835520096447,0.7519430870113708,R1
v00013,5.102402925491333,0.8234584919013967,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16302005232031247,,R1
