pair_id,base_err,new_err,base_ok,new_ok
v00000,0.6887,0.6887,True,True
v00002,314.8079,0.6156,False,True
v00003,0.643,0.643,True,True
v00004,286.1846,0.581,False,True
v00005,79.3381,0.6201,False,True
v00006,0.6564,0.6564,True,True
v00008,0.584,0.584,True,True
v00010,0.7364,0.7364,True,True
v00012,0.7519,0.7519,True,True
v00013,0.6073,0.6073,True,True
v00014,77.2125,0.7106,False,True
v00015,2.4447,453.1045,True,False
v00016,0.762,0.762,True,True
v00017,0.7572,0.7572,True,True
v00019,0.843,0.843,True,True
v00020,0.7251,0.7251,True,True
v00021,303.9864,0.6601,False,True
v00022,0.653,0.653,True,True
v00024,0.6152,0.6152,True,True
v00025,0.798,0.798,True,True
v00026,299.7736,0.6752,False,True
v00027,305.326,0.7351,False,True
v00028,434.3756,0.6195,False,True
v00029,0.6117,0.6117,True,True
v00030,0.6539,0.6539,True,True
v00032,80.9191,0.5732,False,True
v00033,0.7885,0.7885,True,True
v00035,126.3218,1.0962,False,True
v00036,0.7208,0.7208,True,True
v00037,0.7862,0.7862,True,True
v00038,217.6469,306.116,False,False
v00039,0.6662,0.6662,True,True
v00040,233.7746,0.6121,False,True
v00041,3.3194,312.6237,True,False
v00042,271.2125,0.7197,False,True
v00043,0.6964,0.6964,True,True
v00044,58.263,0.7727,False,True
v00045,0.6739,0.6739,True,True
v00046,0.6254,0.6254,True,True
v00047,142.6051,0.6831,False,True
v00048,0.7568,0.7568,True,True
v00050,69.1188,0.5287,False,True
v00051,0.6193,0.6193,True,True
v00052,0.6306,0.6306,True,True
v00053,271.4617,363.3798,False,False
v00054,431.614,0.7848,False,True
v00055,0.8061,0.8061,True,True
v00056,239.4123,0.6974,False,True
v00057,165.7123,0.6056,False,True
v00058,302.3781,0.9361,False,True
v00059,136.1858,0.8488,False,True
v00060,173.0066,0.543,False,True
v00061,0.7606,0.7606,True,True
v00062,193.5505,0.7315,False,True
v00063,0.6711,0.6711,True,True
v00064,0.8497,0.8497,True,True
v00065,0.7292,0.7292,True,True
v00066,152.9081,0.7365,False,True
v00067,353.681,0.5842,False,True
v00068,0.7046,0.7046,True,True
v00069,0.5818,0.5818,True,True
v00070,254.2296,1.2523,False,True
v00072,62.5679,0.6774,False,True
v00074,83.2539,0.7084,False,True
v00075,0.6814,0.6814,True,True
v00076,343.061,0.5541,False,True
v00077,77.7755,0.4472,False,True
v00078,0.7566,0.7566,True,True
v00079,114.9556,0.5877,False,True
v00081,0.6932,0.6932,True,True
v00083,216.9979,0.7576,False,True
v00084,0.6434,0.6434,True,True
v00087,130.9522,0.8851,False,True
v00089,0.6105,0.6105,True,True
v00093,161.3817,0.7829,False,True
v00095,0.7976,0.7976,True,True
v00097,0.7013,0.7013,True,True
v00099,61.7718,0.6967,False,True
