shortlist,K,rerank,le1,le5,recovered,broken,loc40
corr_score,2,context_combined,72,73,33,2,37.33
corr_score,2,grad_ncc,71,72,32,2,36.82
corr_score,3,context_combined,72,73,33,2,37.33
corr_score,3,grad_ncc,71,72,32,2,36.82
corr_score,5,context_combined,72,73,33,2,37.33
corr_score,5,grad_ncc,69,70,30,2,35.79
corr_score,8,context_combined,72,74,34,2,37.74
corr_score,8,grad_ncc,69,70,30,2,35.79
corr_score,10,context_combined,72,74,34,2,37.74
corr_score,10,grad_ncc,69,70,30,2,35.79
corr_score,15,context_combined,72,74,34,2,37.74
corr_score,15,grad_ncc,69,69,29,2,35.38
corr_score,20,context_combined,72,74,34,2,37.74
corr_score,20,grad_ncc,69,69,29,2,35.38
corr_score,30,context_combined,72,74,34,2,37.74
corr_score,30,grad_ncc,69,69,29,2,35.38
corr_score,50,context_combined,72,74,34,2,37.74
corr_score,50,grad_ncc,69,69,29,2,35.38
corr_score,100,context_combined,72,74,34,2,37.74
corr_score,100,grad_ncc,69,69,29,2,35.38
corr_score,200,context_combined,72,74,34,2,37.74
corr_score,200,grad_ncc,69,69,29,2,35.38
v25,2,context_combined,43,44,3,1,22.26
v25,2,grad_ncc,43,44,3,1,22.26
v25,3,context_combined,43,44,3,1,22.26
v25,3,grad_ncc,43,44,3,1,22.26
v25,5,context_combined,47,49,8,1,24.72
v25,5,grad_ncc,47,48,7,1,24.31
v25,8,context_combined,47,50,9,1,25.13
v25,8,grad_ncc,46,48,7,1,24.21
v25,10,context_combined,51,54,13,1,27.18
v25,10,grad_ncc,50,52,11,1,26.26
v25,15,context_combined,54,57,16,1,28.72
v25,15,grad_ncc,53,55,14,1,27.79
v25,20,context_combined,57,60,19,1,30.26
v25,20,grad_ncc,56,58,17,1,29.33
v25,30,context_combined,62,65,24,1,32.82
v25,30,grad_ncc,61,63,22,1,31.9
v25,50,context_combined,70,72,32,2,36.72
v25,50,grad_ncc,69,70,30,2,35.79
v25,100,context_combined,72,74,34,2,37.74
v25,100,grad_ncc,69,69,29,2,35.38
v25,200,context_combined,72,74,34,2,37.74
v25,200,grad_ncc,69,69,29,2,35.38
