pair_id,x,y,theta,scale,found,score,runtime,sel_ctx,ctx_margin
v00000,0.0,0.0,0.0,0.0,0,0.84288,6.01889,0.94132,0.10026
v00001,0.0,0.0,0.0,0.0,0,0.74008,5.80535,0.51895,0.00246
v00002,505.1783,295.08916,-4.72,9.06,1,0.85363,6.22031,0.95913,0.1449
v00003,0.0,0.0,0.0,0.0,0,0.83581,5.95731,0.93609,0.06727
v00004,0.0,0.0,0.0,0.0,0,0.84012,5.95803,0.95941,0.07049
v00005,323.30041,387.44572,0.56,8.24,1,0.87586,5.35148,0.98405,0.26343
v00006,448.58481,566.82024,1.28,9.86,1,0.84357,5.50527,0.94319,0.10255
v00007,0.0,0.0,0.0,0.0,0,0.69313,5.67145,0.32756,0.00271
v00008,450.11669,475.07077,-1.2,11.3,1,0.85227,5.5218,0.97746,0.12214
v00009,0.0,0.0,0.0,0.0,0,0.79032,5.65604,0.75972,0.00059
v00010,520.2664,598.51506,2.8,8.1,1,0.84657,5.47108,0.95438,0.10954
v00011,0.0,0.0,0.0,0.0,0,0.77263,5.63675,0.66712,0.00082
v00012,545.53292,601.09846,0.24,8.98,1,0.85648,5.36364,0.95016,0.16957
v00013,0.0,0.0,0.0,0.0,0,0.84055,5.62591,0.9337,0.09412
v00014,659.58206,374.85225,-3.6,9.32,1,0.85038,5.55741,0.93819,0.14414
v00015,471.10581,635.90008,-4.48,8.74,1,0.85285,5.69231,0.96242,0.13814
v00016,539.09898,590.94579,-2.4,9.6,1,0.86104,5.59168,0.94767,0.19884
v00017,0.0,0.0,0.0,0.0,0,0.84282,5.42211,0.95516,0.08876
v00018,0.0,0.0,0.0,0.0,0,0.82044,5.6946,0.90766,0.0119
v00019,0.0,0.0,0.0,0.0,0,0.84075,5.49253,0.95753,0.07476
v00020,674.88695,505.95908,4.56,10.2,1,0.86589,5.9649,0.94241,0.23307
v00021,685.21236,638.40295,0.16,10.0,1,0.84988,5.11386,0.97215,0.11298
v00022,0.0,0.0,0.0,0.0,0,0.83927,5.85237,0.92601,0.09404
v00024,455.63491,387.69346,3.52,8.82,1,0.8542,5.85943,0.94745,0.1585
v00025,658.59294,477.05904,-1.92,8.44,1,0.85268,5.63113,0.96293,0.13705
v00026,298.67689,371.27019,-0.4,8.98,1,0.84746,5.40763,0.95872,0.11115
v00027,286.84706,689.88986,1.04,11.84,1,0.84782,5.82237,0.96274,0.1095
v00028,300.28704,305.47798,0.4,8.82,1,0.84783,5.74678,0.96269,0.1098
v00029,392.24691,472.37984,-3.52,10.5,1,0.84861,5.68695,0.95292,0.12246
v00030,541.03939,572.41725,1.04,8.74,1,0.8593,5.60925,0.97531,0.16534
v00031,0.0,0.0,0.0,0.0,0,0.74011,5.70368,0.51531,0.00812
v00032,341.53176,583.91629,3.52,8.04,1,0.86443,5.78717,0.97154,0.19982
v00033,682.84999,438.00189,-3.36,8.6,1,0.84526,5.70154,0.97158,0.08766
v00034,0.0,0.0,0.0,0.0,0,0.80213,5.75234,0.81335,0.00632
v00035,501.89018,483.24541,-4.16,10.6,1,0.84739,5.69881,0.9478,0.11938
v00036,649.56794,548.85782,-0.64,8.24,1,0.87442,5.27846,0.97967,0.25751
v00037,521.49832,451.12452,-1.6,9.5,1,0.84432,5.44427,0.94449,0.10609
v00038,0.0,0.0,0.0,0.0,0,0.81752,5.76512,0.83524,0.0583
v00039,451.83859,588.56477,-2.56,11.44,1,0.86142,5.68378,0.96099,0.19048
v00040,363.10061,669.09727,-4.96,11.06,1,0.8589,5.857,0.97063,0.16679
v00041,0.0,0.0,0.0,0.0,0,0.80921,5.58272,0.85624,0.0023
v00042,0.0,0.0,0.0,0.0,0,0.84059,5.32513,0.94511,0.08485
v00043,603.74855,347.97183,3.36,9.58,1,0.85392,5.67601,0.95253,0.15303
v00044,693.49782,448.42107,-3.2,10.5,1,0.85976,5.47141,0.91469,0.2192
v00045,533.57767,492.92924,0.08,11.44,1,0.85696,5.28755,0.9664,0.15906
v00046,526.41201,662.67542,1.52,11.7,1,0.84344,5.51461,0.90946,0.13032
v00047,363.66953,284.20063,-2.08,8.38,1,0.84883,5.58503,0.95004,0.12618
v00048,0.0,0.0,0.0,0.0,0,0.84261,5.72996,0.95128,0.09012
v00049,0.0,0.0,0.0,0.0,0,0.82248,5.69355,0.93458,0.0001
v00050,610.12936,656.23579,3.28,8.3,1,0.86164,5.6945,0.96074,0.19133
v00051,472.15333,337.03844,-3.92,8.04,1,0.85431,5.54277,0.97326,0.13736
v00052,0.0,0.0,0.0,0.0,0,0.83872,5.38207,0.90176,0.11032
v00053,314.10375,584.12676,-3.84,11.84,1,0.85611,5.85954,0.96365,0.15615
v00054,0.0,0.0,0.0,0.0,0,0.84057,5.80604,0.91529,0.10853
v00055,0.0,0.0,0.0,0.0,0,0.83921,5.66646,0.88889,0.12415
v00056,673.78182,507.1674,-4.8,9.7,1,0.84504,5.81833,0.8976,0.14778
v00057,0.0,0.0,0.0,0.0,0,0.80431,5.91846,0.80368,0.02881
v00058,0.0,0.0,0.0,0.0,0,0.83724,5.8355,0.93379,0.07557
v00059,0.0,0.0,0.0,0.0,0,0.83883,5.80589,0.91334,0.10283
v00060,295.15084,417.42823,-3.84,8.44,1,0.86219,5.83649,0.95431,0.19991
v00061,519.07361,664.77094,-4.48,9.6,1,0.85708,5.64649,0.96432,0.16125
v00062,346.73795,698.00021,-0.56,11.6,1,0.88419,5.44509,0.95319,0.34751
v00063,642.17844,396.84817,0.32,11.3,1,0.85343,5.40312,0.91918,0.17743
v00064,0.0,0.0,0.0,0.0,0,0.83726,5.81857,0.89737,0.10735
v00065,541.46398,627.45298,-1.6,11.99,1,0.85695,5.49903,0.87154,0.23901
v00066,0.0,0.0,0.0,0.0,0,0.84154,5.50674,0.90926,0.11951
v00067,295.17929,602.97535,0.24,11.3,1,0.85893,5.34657,0.94901,0.18504
v00068,523.60553,625.78666,-2.32,10.94,1,0.86314,5.5112,0.95695,0.20382
v00069,578.09693,669.3077,-0.88,8.44,1,0.86692,5.31869,0.93042,0.24953
v00070,412.14219,657.02398,3.6,8.6,1,0.85534,5.63758,0.95112,0.16167
v00071,0.0,0.0,0.0,0.0,0,0.64677,5.57917,0.1619,0.001
v00072,282.70826,503.61873,0.96,10.7,1,0.84688,5.37836,0.93003,0.13206
v00073,0.0,0.0,0.0,0.0,0,0.72967,5.67856,0.4753,0.0047
v00074,638.99959,358.34398,-1.6,9.8,1,0.87575,5.4726,0.97398,0.27108
v00075,564.86891,439.02914,-4.08,8.44,1,0.84818,5.63727,0.89978,0.16372
v00076,284.85045,632.98782,4.4,8.2,1,0.85355,5.63993,0.90988,0.18551
v00077,0.0,0.0,0.0,0.0,0,0.8295,5.23473,0.81479,0.1347
v00078,0.0,0.0,0.0,0.0,0,0.83368,5.71969,0.87819,0.10369
v00079,0.0,0.0,0.0,0.0,0,0.82929,5.38392,0.87812,0.08131
v00081,0.0,0.0,0.0,0.0,0,0.8358,5.47779,0.89254,0.10214
v00082,0.0,0.0,0.0,0.0,0,0.637,5.33166,0.12354,0.00115
v00083,0.0,0.0,0.0,0.0,0,0.84069,5.50843,0.89803,0.1241
v00084,0.0,0.0,0.0,0.0,0,0.84127,5.65069,0.90075,0.12462
v00086,0.0,0.0,0.0,0.0,0,0.73602,5.49169,0.5044,0.00042
v00087,0.0,0.0,0.0,0.0,0,0.83059,5.48635,0.86014,0.1022
v00088,0.0,0.0,0.0,0.0,0,0.68848,5.47735,0.31457,0.00168
v00089,0.0,0.0,0.0,0.0,0,0.82526,5.95938,0.84833,0.08586
v00090,0.0,0.0,0.0,0.0,0,0.69739,5.78977,0.3227,0.02046
v00092,0.0,0.0,0.0,0.0,0,0.75339,5.78122,0.54,0.03491
v00093,0.0,0.0,0.0,0.0,0,0.8233,5.64637,0.79312,0.12186
