pair_id,runtime,t_pose,t_nms,t_context,t_refine,x,y,theta,scale,ctx,ctx_margin,corr,corr_margin,n_cands
v00000,15.19473,14.39011,0.11627,0.49839,0.10735,300.81735,504.02322,-2.8,11.3,0.94132,0.10026,0.95457,0.25924,8
v00001,8.69131,8.49833,0.01441,0.16838,0.00953,128.5,339.5,5.0,8.0,0.51895,0.00308,0.41638,0.00166,8
v00002,14.70458,13.93702,0.08428,0.58907,0.0935,505.1783,295.08916,-4.72,9.06,0.95913,0.1449,0.94377,0.2571,8
v00003,15.79474,15.2276,0.00659,0.55063,0.00921,434.56538,360.57449,1.36,10.1,0.93609,0.06727,0.95898,0.28562,8
v00004,15.05585,14.39741,0.01374,0.55732,0.08662,291.95918,456.80981,2.32,8.74,0.95941,0.07049,0.97652,0.32445,8
v00005,14.73464,14.11424,0.00839,0.59676,0.01452,323.30041,387.44572,0.56,8.24,0.98405,0.26589,0.98181,0.30434,8
v00006,6.08463,5.91355,0.00914,0.15099,0.01015,448.58481,566.82024,1.28,9.86,0.94319,0.10255,0.96035,0.28955,8
v00007,15.26762,14.59365,0.1017,0.56086,0.01058,689.49735,100.4366,-3.36,8.52,0.31296,0.00104,0.31921,0.01862,8
v00008,15.0068,14.27468,0.09576,0.54333,0.09235,450.11669,475.07077,-1.2,11.3,0.97746,0.12214,0.97424,0.2773,8
v00009,16.0829,15.45951,0.00948,0.60135,0.01183,575.83059,557.0,4.24,8.7,0.75972,0.00059,0.76433,0.00067,8
v00010,15.38582,14.72209,0.00882,0.55586,0.09826,520.2664,598.51506,2.8,8.1,0.95438,0.10954,0.96474,0.23665,8
v00011,15.43503,14.69814,0.01223,0.71359,0.01049,754.52363,770.7796,3.68,8.04,0.63206,0.0026,0.54158,0.02557,8
