pair_id,z,theta,v2_s,v2_t,v2_time,v3_s,v3_t,v3_time
v00000,11.46549,-2.84125,11.3,-2.8,12.89919,11.3,-2.8,12.99083
v00002,9.12141,-4.83687,9.06,-4.72,12.87563,10.7,-5.0,12.94381
v00003,10.17445,1.34436,10.1,1.36,13.10773,10.1,1.44,12.82844
v00004,8.79554,2.37681,8.74,2.32,13.45757,8.74,2.32,5.40004
v00005,8.22414,0.61313,8.24,0.56,5.54532,8.24,0.56,4.1317
v00006,9.83729,1.30738,9.86,1.28,12.67256,9.86,1.28,13.49271
v00008,11.26819,-1.20226,11.3,-1.2,12.48178,11.3,-1.2,12.94857
v00010,8.07454,2.74646,8.1,2.8,13.29986,8.1,2.8,12.7826
v00012,8.96116,0.29627,8.98,0.24,12.89849,8.98,0.24,12.62339
v00013,10.21077,4.4228,10.1,4.32,6.36339,10.3,4.32,4.16077
v00014,9.31966,-3.65527,9.32,-3.6,13.03139,9.32,-3.6,13.08634
v00015,8.73462,-4.49969,8.74,-4.48,11.66759,8.74,-4.48,4.19443
v00016,9.6617,-2.43409,9.6,-2.4,10.57516,9.6,-2.4,4.10136
v00017,11.11984,0.07025,11.06,0.08,12.62248,11.06,0.08,14.32228
v00019,8.04328,-1.88905,8.04,-1.92,14.92201,8.04,-1.92,13.02974
v00020,10.0963,4.53398,10.2,4.56,14.33463,10.2,4.56,13.12882
v00021,10.00131,0.16307,10.0,0.16,12.61201,10.0,0.16,13.1408
v00022,9.18073,4.26546,9.14,4.32,4.79099,9.14,4.32,4.20824
v00024,8.85621,3.56822,8.82,3.52,13.46281,8.82,3.52,7.0308
v00025,8.46204,-2.05126,8.44,-1.92,13.17158,8.44,-1.92,13.12041
v00026,8.99713,-0.4541,8.98,-0.4,6.58872,8.98,-0.4,4.69819
v00027,11.95858,1.11034,11.84,1.04,4.57618,11.84,1.04,6.5372
v00028,8.82028,0.39918,8.82,0.4,4.05628,8.82,0.4,4.07913
v00029,10.60472,-3.47526,10.5,-3.52,4.15321,10.5,-3.52,4.11534
v00030,8.7965,1.12201,8.74,1.04,4.08514,8.74,0.96,4.03737
v00032,8.04822,3.598,8.04,3.52,4.15357,8.04,3.52,4.11895
v00033,8.61995,-3.35077,8.6,-3.36,4.1745,8.6,-3.36,4.13619
v00035,10.57087,-4.17694,10.6,-4.16,8.53921,10.6,-4.16,4.10852
v00036,8.28614,-0.62857,8.24,-0.64,3.82601,8.24,-0.64,4.14077
v00037,9.57998,-1.60605,9.5,-1.6,4.10563,9.5,-1.6,4.15732
