triplet_id,sample_id,difficulty,architecture,ref_64_path,ref_128_path,pos_64_path,pos_128_path,neg_64_path,neg_128_path,pos_ncc,neg_ncc,pos_error,neg_error,gt_x,gt_y
0,0,Easy,dram_1x,data/hcr_train\triplets\00000_ref_64.npy,data/hcr_train\triplets\00000_ref_128.npy,data/hcr_train\triplets\00000_pos_64.npy,data/hcr_train\triplets\00000_pos_128.npy,data/hcr_train\triplets\00000_neg_64.npy,data/hcr_train\triplets\00000_neg_128.npy,0.9114,0.5343,0.58,143.7,842.7,280.5
1,0,Easy,dram_1x,data/hcr_train\triplets\00001_ref_64.npy,data/hcr_train\triplets\00001_ref_128.npy,data/hcr_train\triplets\00001_pos_64.npy,data/hcr_train\triplets\00001_pos_128.npy,data/hcr_train\triplets\00001_neg_64.npy,data/hcr_train\triplets\00001_neg_128.npy,0.9114,0.5293,0.58,71.7,842.7,280.5
2,0,Easy,dram_1x,data/hcr_train\triplets\00002_ref_64.npy,data/hcr_train\triplets\00002_ref_128.npy,data/hcr_train\triplets\00002_pos_64.npy,data/hcr_train\triplets\00002_pos_128.npy,data/hcr_train\triplets\00002_neg_64.npy,data/hcr_train\triplets\00002_neg_128.npy,0.9114,0.4761,0.58,18.5,842.7,280.5
3,0,Easy,dram_1x,data/hcr_train\triplets\00003_ref_64.npy,data/hcr_train\triplets\00003_ref_128.npy,data/hcr_train\triplets\00003_pos_64.npy,data/hcr_train\triplets\00003_pos_128.npy,data/hcr_train\triplets\00003_neg_64.npy,data/hcr_train\triplets\00003_neg_128.npy,0.9114,0.4589,0.58,191.5,842.7,280.5
4,0,Easy,dram_1x,data/hcr_train\triplets\00004_ref_64.npy,data/hcr_train\triplets\00004_ref_128.npy,data/hcr_train\triplets\00004_pos_64.npy,data/hcr_train\triplets\00004_pos_128.npy,data/hcr_train\triplets\00004_neg_64.npy,data/hcr_train\triplets\00004_neg_128.npy,0.9114,0.4524,0.58,13.5,842.7,280.5
5,1,Medium,dram_dense,data/hcr_train\triplets\00005_ref_64.npy,data/hcr_train\triplets\00005_ref_128.npy,data/hcr_train\triplets\00005_pos_64.npy,data/hcr_train\triplets\00005_pos_128.npy,data/hcr_train\triplets\00005_neg_64.npy,data/hcr_train\triplets\00005_neg_128.npy,0.8836,0.5248,0.54,14.21,266.5,280.2
6,1,Medium,dram_dense,data/hcr_train\triplets\00006_ref_64.npy,data/hcr_train\triplets\00006_ref_128.npy,data/hcr_train\triplets\00006_pos_64.npy,data/hcr_train\triplets\00006_pos_128.npy,data/hcr_train\triplets\00006_neg_64.npy,data/hcr_train\triplets\00006_neg_128.npy,0.8836,0.5186,0.54,14.81,266.5,280.2
7,1,Medium,dram_dense,data/hcr_train\triplets\00007_ref_64.npy,data/hcr_train\triplets\00007_ref_128.npy,data/hcr_train\triplets\00007_pos_64.npy,data/hcr_train\triplets\00007_pos_128.npy,data/hcr_train\triplets\00007_neg_64.npy,data/hcr_train\triplets\00007_neg_128.npy,0.8836,0.4844,0.54,86.5,266.5,280.2
8,1,Medium,dram_dense,data/hcr_train\triplets\00008_ref_64.npy,data/hcr_train\triplets\00008_ref_128.npy,data/hcr_train\triplets\00008_pos_64.npy,data/hcr_train\triplets\00008_pos_128.npy,data/hcr_train\triplets\00008_neg_64.npy,data/hcr_train\triplets\00008_neg_128.npy,0.8836,0.4835,0.54,826.12,266.5,280.2
9,1,Medium,dram_dense,data/hcr_train\triplets\00009_ref_64.npy,data/hcr_train\triplets\00009_ref_128.npy,data/hcr_train\triplets\00009_pos_64.npy,data/hcr_train\triplets\00009_pos_128.npy,data/hcr_train\triplets\00009_neg_64.npy,data/hcr_train\triplets\00009_neg_128.npy,0.8836,0.4827,0.54,173.5,266.5,280.2
