group_id,difficulty,architecture,num_candidates,target_idx,group_file
0,Medium,dram_dense,20,0,data/pace_train\groups\group_00000.npz
1,Hard,finfet_10nm,20,0,data/pace_train\groups\group_00001.npz
2,Adversarial,finfet_7nm,20,0,data/pace_train\groups\group_00002.npz
3,Easy,dram_1x,20,0,data/pace_train\groups\group_00003.npz
4,Medium,dram_dense,20,0,data/pace_train\groups\group_00004.npz
5,Hard,finfet_10nm,20,0,data/pace_train\groups\group_00005.npz
6,Adversarial,finfet_7nm,20,0,data/pace_train\groups\group_00006.npz
7,Easy,dram_1x,20,0,data/pace_train\groups\group_00007.npz
8,Medium,dram_dense,20,0,data/pace_train\groups\group_00008.npz
9,Hard,finfet_10nm,20,0,data/pace_train\groups\group_00009.npz
10,Adversarial,finfet_7nm,20,0,data/pace_train\groups\group_00010.npz
11,Easy,dram_1x,20,0,data/pace_train\groups\group_00011.npz
12,Medium,dram_dense,20,0,data/pace_train\groups\group_00012.npz
13,Hard,finfet_10nm,20,0,data/pace_train\groups\group_00013.npz
14,Adversarial,finfet_7nm,20,0,data/pace_train\groups\group_00014.npz
15,Easy,dram_1x,20,0,data/pace_train\groups\group_00015.npz
16,Hard,finfet_10nm,20,1,data/pace_train\groups\group_00016.npz
17,Adversarial,finfet_7nm,20,1,data/pace_train\groups\group_00017.npz
18,Easy,dram_1x,20,0,data/pace_train\groups\group_00018.npz
19,Medium,dram_dense,20,0,data/pace_train\groups\group_00019.npz
20,Hard,finfet_10nm,20,1,data/pace_train\groups\group_00020.npz
21,Adversarial,finfet_7nm,20,0,data/pace_train\groups\group_00021.npz
22,Easy,dram_1x,20,0,data/pace_train\groups\group_00022.npz
23,Hard,finfet_10nm,20,0,data/pace_train\groups\group_00023.npz
24,Adversarial,finfet_7nm,20,1,data/pace_train\groups\group_00024.npz
25,Easy,dram_1x,20,0,data/pace_train\groups\group_00025.npz
26,Medium,dram_dense,20,0,data/pace_train\groups\group_00026.npz
27,Hard,finfet_10nm,20,0,data/pace_train\groups\group_00027.npz
28,Adversarial,finfet_7nm,20,0,data/pace_train\groups\group_00028.npz
29,Easy,dram_1x,20,0,data/pace_train\groups\group_00029.npz
30,Hard,finfet_10nm,20,0,data/pace_train\groups\group_00030.npz
31,Adversarial,finfet_7nm,20,2,data/pace_train\groups\group_00031.npz
32,Easy,dram_1x,20,0,data/pace_train\groups\group_00032.npz
33,Medium,dram_dense,20,0,data/pace_train\groups\group_00033.npz
34,Hard,finfet_10nm,20,0,data/pace_train\groups\group_00034.npz
35,Adversarial,finfet_7nm,20,0,data/pace_train\groups\group_00035.npz
36,Easy,dram_1x,20,0,data/pace_train\groups\group_00036.npz
37,Medium,dram_dense,20,0,data/pace_train\groups\group_00037.npz
