image_id,style,split,ref_path,search_path,x_true,y_true,scale_true,rotation_true,noise_level_search
stress_dram_000,dram,stress,data/stress\images\ref_stress_dram_000.png,data/stress\images\search_stress_dram_000.png,270.21,537.243,1.0322,-2.3,0.1226
stress_dram_001,dram,stress,data/stress\images\ref_stress_dram_001.png,data/stress\images\search_stress_dram_001.png,591.333,540.014,0.9772,0.65,0.0953
stress_dram_002,dram,stress,data/stress\images\ref_stress_dram_002.png,data/stress\images\search_stress_dram_002.png,371.237,724.061,1.0094,3.0,0.0903
stress_dram_003,dram,stress,data/stress\images\ref_stress_dram_003.png,data/stress\images\search_stress_dram_003.png,590.646,360.363,1.0152,-0.95,0.1145
stress_dram_004,dram,stress,data/stress\images\ref_stress_dram_004.png,data/stress\images\search_stress_dram_004.png,265.675,645.783,0.9688,0.82,0.1052
stress_dram_005,dram,stress,data/stress\images\ref_stress_dram_005.png,data/stress\images\search_stress_dram_005.png,329.097,520.627,1.0063,0.5,0.0875
stress_dram_006,dram,stress,data/stress\images\ref_stress_dram_006.png,data/stress\images\search_stress_dram_006.png,216.667,677.378,1.0379,1.02,0.0539
stress_dram_007,dram,stress,data/stress\images\ref_stress_dram_007.png,data/stress\images\search_stress_dram_007.png,296.871,314.906,0.9514,-0.15,0.1119
stress_dram_008,dram,stress,data/stress\images\ref_stress_dram_008.png,data/stress\images\search_stress_dram_008.png,593.943,343.338,1.0148,2.03,0.0653
stress_dram_009,dram,stress,data/stress\images\ref_stress_dram_009.png,data/stress\images\search_stress_dram_009.png,516.741,287.69,0.9716,-2.16,0.0627
