pair_id,gt_found,gt_x,gt_y,total_cands,hit_1,hit_5,hit_10,hit_20,hit_50,hit_100,hit_200,hit_300,hit_500,hit_800,min_err_200,min_err_800
pair_000,1,571.9958979375593,398.53034370617024,270,False,False,False,False,False,False,False,False,False,False,5.407460121221547,5.407460121221547
pair_001,1,373.394215556507,522.6150317343146,800,False,True,True,True,True,True,True,True,True,True,0.06939457155767366,0.06939457155767366
pair_002,1,506.9538393948501,470.58932107692567,800,False,False,False,False,False,False,False,False,False,False,10.271939788484596,10.271939788484596
pair_003,1,607.6968809170181,645.8140267959674,800,False,False,False,False,False,False,True,True,True,True,3.6481356572885386,3.6481356572885386
pair_004,1,560.304385883243,505.4287915025294,800,False,False,False,False,False,True,True,True,True,True,0.05420139642618899,0.05420139642618899
pair_005,1,492.8803672127779,373.9741749168665,785,False,False,True,True,True,True,True,True,True,True,3.403182074478302,0.3541537874412045
pair_006,1,575.80239958051,444.3205630964013,800,False,False,False,False,False,True,True,True,True,True,3.195334360303395,3.195334360303395
pair_007,1,593.4639558322576,511.994170997082,290,False,False,True,True,True,True,True,True,True,True,0.06880440144727554,0.06880440144727554
pair_008,1,422.47519132408166,450.34835894814296,800,False,True,True,True,True,True,True,True,True,True,3.9349857745222985,0.060866960204143436
pair_009,1,563.0039110938745,430.0475336900847,485,True,True,True,True,True,True,True,True,True,True,0.055300360507908375,0.055300360507908375
pair_010,1,417.9476615652271,379.3784667651839,303,False,True,True,True,True,True,True,True,True,True,0.0798444297937523,0.0798444297937523
pair_011,1,419.3732733102879,570.9308170645421,583,True,True,True,True,True,True,True,True,True,True,0.07546398273585365,0.07546398273585365
pair_012,1,415.3336028778185,532.7045826839757,279,False,True,True,True,True,True,True,True,True,True,0.06860940131849896,0.06860940131849896
pair_013,1,502.2262516372216,399.6174248178575,300,True,True,True,True,True,True,True,True,True,True,0.024353873261238834,0.024353873261238834
pair_014,1,553.5988731132766,605.6026301285106,291,False,False,False,False,False,False,False,True,True,True,5.55098482585396,1.0422654777531584
pair_015,1,569.1270705065555,421.203732513507,800,False,True,True,True,True,True,True,True,True,True,0.0930032496141813,0.0930032496141813
pair_016,1,477.5328038616003,586.1320035095774,301,False,False,True,True,True,True,True,True,True,True,0.07797790823555258,0.07797790823555258
pair_017,1,536.4555630659518,415.1719385817246,800,False,False,False,False,True,True,True,True,True,True,3.5855556361413656,0.1934636939797768
pair_018,1,633.8302029584735,529.3771388419595,800,False,False,False,False,False,False,False,False,False,False,7.770326149608357,7.770326149608357
pair_019,1,462.50661641112623,460.2952345169986,303,False,False,True,True,True,True,True,True,True,True,0.05757932650037054,0.05757932650037054
pair_020,1,359.5974759091987,466.8878186295023,285,False,False,False,False,True,True,True,True,True,True,0.01616307125437403,0.01616307125437403
pair_021,1,465.1522506975749,532.2503646150753,280,True,True,True,True,True,True,True,True,True,True,0.06206900717399002,0.06206900717399002
pair_022,1,445.9727890984229,353.832497318668,303,False,True,True,True,True,True,True,True,True,True,0.08607515837812302,0.08607515837812302
pair_023,1,357.48726056680914,561.5979415955231,800,False,True,True,True,True,True,True,True,True,True,0.05814325458736318,0.05814325458736318
pair_024,1,366.6139153673995,627.9868842791703,800,False,False,False,False,False,False,False,False,False,False,5.083668668457717,5.083668668457717
pair_025,1,379.1116367088906,515.4013269230493,800,False,True,True,True,True,True,True,True,True,True,0.06384943059257865,0.06384943059257865
pair_026,1,514.0043003399667,617.9084304340807,417,False,True,True,True,True,True,True,True,True,True,0.041051096841793436,0.041051096841793436
pair_027,1,603.9420312048406,417.7763906775965,762,False,True,True,True,True,True,True,True,True,True,3.2530281759267177,0.06540097684079338
pair_028,1,477.91187520368914,439.8842365822546,288,True,True,True,True,True,True,True,True,True,True,0.052811590507198004,0.052811590507198004
pair_029,1,505.0122385387808,618.7091177721555,290,False,False,False,True,True,True,True,True,True,True,0.14157215647280139,0.14157215647280139
pair_030,1,436.1278420959197,611.0108527600154,800,False,False,False,False,False,False,False,False,False,False,5.884439609992836,5.884439609992836
pair_031,1,515.2050624964362,524.1079983471228,800,False,False,False,False,False,False,False,True,True,True,54.73052934884747,0.5877033427442183
pair_032,1,471.0536823948475,488.1316627573783,283,False,True,True,True,True,True,True,True,True,True,0.042887071883704816,0.042887071883704816
