pair_id,set_type,gt_found,gt_x,gt_y,base_cx,base_cy,base_err,base_ncc,final_cx,final_cy,final_err,was_rescued,rescue_candidates_generated,lattice_found,lattice_confidence,lattice_pitch_x,lattice_pitch_y,rescue_ncc,rescue_ctx,rescue_neigh,min_pool_err
pair_000,SetA,1,571.9958979375593,398.53034370617024,576.0,641.0,242.502715565361,0.840872585773468,576.0,641.0,242.502715565361,False,0,False,0.0,0.0,0.0,0.0,0.0,0.0,5.469657832035542
pair_014,SetA,1,553.5988731132766,605.6026301285106,388.0,381.0,279.05076283183956,0.7572696208953857,388.0,381.0,279.05076283183956,False,0,False,0.0,0.0,0.0,0.0,0.0,0.0,5.68231902238409
pair_018,SetA,1,633.8302029584735,529.3771388419595,426.5,556.5,209.09677820616974,0.795778214931488,449.5,530.5,184.33362292292813,True,71,True,0.5,16.76305461424021,21.840329667841555,0.8108850121498108,0.40354385375976565,0.6168772280216217,7.670781024274127
pair_024,SetA,1,366.6139153673995,627.9868842791703,440.0,464.0,179.6586085699575,0.7718788385391235,576.0,429.0,288.85690670797965,True,63,True,0.5,51.088159097779204,21.840329667841555,0.7396658062934875,0.737886118888855,0.08897665911354125,5.02796087633543
pair_030,SetA,1,436.1278420959197,611.0108527600154,627.0,554.0,199.2044627898289,0.7769827246665955,629.0,535.0,207.30971764941756,True,75,True,0.5,11.045361017187261,19.1049731745428,0.7651718258857727,0.6765512585639955,-0.23922001663595438,5.88854704993119
pair_034,SetA,1,600.6392691360397,427.2759208637932,607.0,405.0,23.16625881435572,0.7633917927742004,588.0,314.0,113.97888125364973,True,63,True,0.5,12.041594578792296,29.732137494637012,0.770707368850708,0.6324410319328309,-0.10041406750679016,6.783020109220472
pair_036,SetA,1,369.9263348959626,591.9291431014253,405.5,371.5,223.28119664979147,0.7486016750335693,405.5,371.5,223.28119664979147,False,0,False,0.0,0.0,0.0,0.0,0.0,0.0,6.451639930569365
pair_040,SetA,1,630.593738588206,591.0880887782025,458.0,624.0,175.703706563423,0.7394642233848572,451.0,476.0,213.30536589291015,True,67,True,0.75,16.278820596099706,17.11724276862369,0.7000069618225098,0.63300199508667,-0.24426683224737644,5.187067207266766
pair_042,SetA,1,668.4494920156358,568.0786817680777,401.5,592.5,268.06423124242224,0.8010767698287964,401.5,592.5,268.06423124242224,False,0,False,0.0,0.0,0.0,0.0,0.0,0.0,5.42155350690722
pair_046,SetA,1,443.0353460101062,368.1839792604088,489.5,563.5,200.76681007564216,0.7370001673698425,483.5,576.5,212.209690446265,True,63,True,0.5,13.601470508735444,13.341664064126334,0.7372481226921082,0.3902000367641449,0.12049403414130211,9.008886069376043
pair_058,SetA,1,409.69162392649287,578.3278051888444,446.5,483.5,101.72103610415185,0.7933240532875061,409.5,578.5,0.2576252747566675,True,59,True,0.75,9.0,102.77159140540736,0.7889804840087891,0.552973997592926,0.012841119430959225,6.175168703449354
pair_060,SetA,1,560.1155584056785,517.980210360295,549.5,461.5,57.469159056032375,0.7192074656486511,522.5,490.5,46.58424836376643,True,46,True,0.5,34.36568055487916,26.076809620810597,0.7069917917251587,0.49292899221181874,0.005680441856384277,7.822377698531767
pair_068,SetA,1,378.9976793534375,546.376157512448,346.0,509.0,49.85803840011757,0.7531512379646301,366.0,552.0,14.162177547946865,True,37,True,0.5,21.10094784600919,18.110770276274835,0.7288553714752197,0.6114237189292908,-0.36082775121030863,5.510535441834709
pair_076,SetB,1,371.649968341773,387.4210639684029,348.0,564.0,178.15566691132148,0.22376574575901031,348.0,564.0,178.15566691132148,False,0,False,0.0,0.0,0.0,0.0,0.0,0.0,5.546937778976221
pair_094,SetB,1,449.5703586355875,474.1917687819448,589.5,581.5,176.3387677724915,0.4481283724308014,492.5,190.5,286.9215463890879,True,48,True,0.5,53.96758286230726,81.59656855530139,0.45384153723716736,0.2994977831840515,0.08586771786212921,6.916524641756361
pair_102,SetB,1,558.7407932360767,654.2146527026613,580.0,357.0,297.97399828406975,0.5681551694869995,580.0,357.0,297.97399828406975,False,0,False,0.0,0.0,0.0,0.0,0.0,0.0,5.221090973717679
pair_110,SetB,1,422.7339868744404,608.8382082352778,502.5,599.5,80.31076505047349,0.4796478748321533,654.5,458.5,276.2554283548303,True,76,True,0.75,35.73513677041127,4.0,0.4812631607055664,0.37027786374092103,0.14365482097491622,6.243154423935463
pair_112,SetB,1,448.691706059214,483.9684783690704,512.5,428.5,84.54732679519662,0.6366465091705322,474.5,456.5,37.69065321861772,True,73,True,0.5,35.6931365951495,21.213203435596427,0.6341636180877686,0.25156044363975527,0.222323689609766,7.8223350892174
pair_118,SetB,1,665.9286433650714,383.7105126474083,558.5,375.5,107.74194138399838,0.19903963804244995,558.5,375.5,107.74194138399838,False,0,False,0.0,0.0,0.0,0.0,0.0,0.0,7.260097344732675
pair_120,SetB,1,406.69402532252985,536.5093041663631,392.0,477.0,61.29658769086473,0.3382408618927002,366.0,539.0,40.77017614244998,True,44,True,0.5,18.973665961010276,10.44030650891055,0.33617568016052246,0.2961350858211518,0.047115436755120754,7.322434594380725
pair_121,SetB,1,627.6125774937187,393.331013610427,512.0,379.0,116.49740780739872,0.7552679777145386,512.0,379.0,116.49740780739872,False,0,False,0.0,0.0,0.0,0.0,0.0,0.0,7.619770738556436
pair_127,SetB,1,453.00874129807096,539.592610087729,648.0,523.0,195.69595212902598,0.6904757022857666,648.0,523.0,195.69595212902598,False,0,False,0.0,0.0,0.0,0.0,0.0,0.0,6.020495623245533
