pair_id,set_type,gt_found,pool_size,n_hyp,mode_strong,pool_has_correct,best_gterr,raw1_corr,raw1_ctx,raw1_neigh,raw1_grad
pair_000,SetA,1,249,1,1,1,0.469674207563254,0.840872585773468,0.6882399678230287,0.7857719659805298,0.746329128742218
pair_001,SetA,1,280,2,1,1,0.15627747241540102,0.8823164701461792,0.8107342958450319,0.7563626915216446,0.7402323484420776
pair_002,SetA,1,280,2,0,0,10.209352768833655,0.703711986541748,0.3624841868877411,0.15757942448059717,0.5265923738479614
pair_003,SetA,1,280,2,1,1,3.701555692844685,0.8644014596939087,0.8406692624092102,0.7118698507547379,0.6636180281639099
pair_004,SetA,1,280,4,0,0,5.711731989479507,0.7417078018188477,0.6191145181655884,0.2246771790087223,0.6346404552459717
pair_005,SetA,1,280,4,0,1,3.65055932236671,0.8732253313064575,0.6838230013847351,0.24053068086504936,0.7104499936103821
pair_006,SetA,1,280,1,0,0,9.304130026920651,0.7174614667892456,0.3239230036735535,0.1852267635986209,0.5402323007583618
pair_007,SetA,1,280,4,0,1,0.46399244774121434,0.8614166378974915,0.7979680299758911,0.6203793212771416,0.7460151314735413
pair_008,SetA,1,280,4,1,1,3.978082587335567,0.7869817614555359,0.5877889335155487,0.49507758766412735,0.6721022725105286
pair_009,SetA,1,280,1,1,1,0.04769432197196644,0.8905602693557739,0.7795400500297547,0.29329460859298706,0.7085001468658447
pair_010,SetA,1,280,4,1,1,0.4638655022163954,0.7404829263687134,0.540997874736786,0.4102335125207901,0.5590667724609375
pair_011,SetA,1,271,1,1,1,0.3796304028023408,0.8794574737548828,0.8525408744812012,0.3374340180307627,0.6408504247665405
pair_012,SetA,1,280,2,1,1,0.2637083177546133,0.8261119723320007,0.41951237916946416,0.4096245914697647,0.7245224118232727
pair_013,SetA,1,280,2,1,1,0.2978703643747182,0.8775079250335693,0.7060239315032959,0.545553769916296,0.742630124092102
pair_014,SetA,1,280,2,1,0,5.68231902238409,0.7607360482215881,0.64528386592865,0.45137492567300797,0.6327114701271057
pair_015,SetA,1,280,2,0,1,0.24011216274098207,0.8847744464874268,0.8583318829536439,0.725399523973465,0.7507777810096741
pair_016,SetA,1,280,2,1,1,0.36945569463634087,0.8090254664421082,0.5881301820278169,0.7965596318244934,0.6858733296394348
pair_017,SetA,1,280,1,0,1,0.3310572990714465,0.8518462777137756,0.7296848893165588,0.6932879984378815,0.7134150862693787
pair_018,SetA,1,255,2,1,0,16.485940851743734,0.8325967192649841,0.22584338784217833,0.7721086144447327,0.6580711007118225
pair_019,SetA,1,226,2,1,1,0.5749702477497144,0.888437807559967,0.849583375453949,0.8598732054233551,0.6934896111488342
pair_020,SetA,1,280,2,1,1,0.4178639773444945,0.809697687625885,0.7890650868415834,0.5233741030097008,0.737203061580658
pair_021,SetA,1,280,1,1,1,0.29302340417425976,0.8821737170219421,0.8093518376350404,0.7609666883945465,0.7446856498718262
pair_022,SetA,1,280,6,0,1,0.5779999987101482,0.7352091670036316,0.49492170810699465,0.416451059281826,0.6161966919898987
pair_023,SetA,1,280,4,0,1,0.6515770767601963,0.8701419234275818,0.8620583772659303,0.4695935696363449,0.6110996603965759
pair_024,SetA,1,280,1,0,0,5.02796087633543,0.7902447581291199,0.629841959476471,0.05849236622452736,0.5913888812065125
pair_025,SetA,1,280,4,0,1,0.4007024107691836,0.8413351774215698,0.6790351748466492,0.6808482110500336,0.7443607449531555
pair_026,SetA,1,280,3,1,1,0.09167048776171266,0.7166341543197632,0.6157987833023072,0.3146250443533063,0.5762878656387329
pair_027,SetA,1,280,4,0,1,2.5728575871336634,0.8522317409515381,0.7282373070716859,0.500627726316452,0.6323030591011047
pair_028,SetA,1,209,1,0,1,0.14548934192212729,0.7708466053009033,0.7375738263130189,0.3022109791636467,0.6576138138771057
pair_029,SetA,1,280,2,1,1,0.5532798236368335,0.8779050707817078,0.7499356269836426,0.4121530972115579,0.726024866104126
pair_030,SetA,1,280,2,0,0,24.64175474061511,0.784014880657196,0.6818714499473573,0.3926553353667259,0.6172255873680115
pair_031,SetA,1,280,4,1,0,76.4398801650213,0.8406174182891846,0.7371500372886659,0.838881254196167,0.7165747284889221
pair_032,SetA,1,280,5,1,1,0.14218607947693748,0.79792720079422,0.7140306353569031,0.4927310049533844,0.6614280939102173
pair_033,SetA,1,249,1,1,1,0.019423389437072804,0.9072321653366089,0.8425503730773927,0.351089880336076,0.7394042611122131
pair_034,SetA,1,280,1,0,0,6.783020109220472,0.776939868927002,0.5824787497520447,0.057292611648639045,0.5283604860305786
pair_035,SetA,1,280,1,0,1,0.3620950533547171,0.8896562457084656,0.7654629111289979,0.5871239304542542,0.7215871214866638
pair_036,SetA,1,280,4,0,0,6.451639930569365,0.7587499022483826,0.4381000876426697,0.09993309620767832,0.5934299230575562
