pair_id,set_type,gt_present_in_top50,gt_rank,winner_error_px,failure_mechanism,mechanism_details
pair_000,SetA,0,-1,242.502715565361,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_001,SetA,1,1,0.15627747241540102,PERIODIC_ARRAY_SYMMETRY,Identical pitch replica inside same family graph component
pair_003,SetA,0,-1,425.8677507626226,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_005,SetA,0,-1,26.38560718079196,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_007,SetA,1,34,157.0744460553237,PERIPHERAL_DRIFT_BIAS,Winner at periphery (d=250.0px) beats centered GT (d=93.8px)
pair_012,SetA,1,14,177.59926317772798,BOUNDARY_CONTRAST_OVERRIDE,False replica on die boundary achieves higher wide-context NCC
pair_013,SetA,1,1,0.2978703643747182,PERIODIC_ARRAY_SYMMETRY,Identical pitch replica inside same family graph component
pair_016,SetA,1,37,267.3752333480974,PERIPHERAL_DRIFT_BIAS,Winner at periphery (d=354.1px) beats centered GT (d=89.4px)
pair_017,SetA,0,-1,396.92505724367516,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_018,SetA,0,-1,521.742257615316,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_020,SetA,0,-1,259.0582228353053,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_023,SetA,1,4,172.13285475673703,MARGINAL_NCC_NOISE,Sub-0.01 raw NCC noise differential
pair_025,SetA,1,2,400.46798233740606,PERIPHERAL_DRIFT_BIAS,Winner at periphery (d=392.9px) beats centered GT (d=121.5px)
pair_027,SetA,1,6,242.36186385887112,PERIPHERAL_DRIFT_BIAS,Winner at periphery (d=351.1px) beats centered GT (d=130.0px)
pair_029,SetA,0,-1,271.71349140325077,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_031,SetA,0,-1,384.8929300737006,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_038,SetA,0,-1,257.7357647079729,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_039,SetA,1,4,162.01685528498157,BOUNDARY_CONTRAST_OVERRIDE,False replica on die boundary achieves higher wide-context NCC
pair_042,SetA,0,-1,21.44706137955736,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_043,SetA,0,-1,355.30176863811664,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_045,SetA,0,-1,288.6355169477713,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_049,SetA,1,1,0.35447447294926504,PERIODIC_ARRAY_SYMMETRY,Identical pitch replica inside same family graph component
pair_050,SetA,0,-1,100.79154469282648,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_056,SetA,0,-1,32.04552677205374,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_059,SetA,1,1,0.1010568972230651,PERIODIC_ARRAY_SYMMETRY,Identical pitch replica inside same family graph component
pair_061,SetA,0,-1,554.65213228039,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_062,SetA,1,34,293.2567803380695,PERIODIC_ARRAY_SYMMETRY,Identical pitch replica inside same family graph component
pair_063,SetA,1,7,535.9250122075962,PERIPHERAL_DRIFT_BIAS,Winner at periphery (d=492.2px) beats centered GT (d=113.0px)
pair_064,SetA,1,18,394.7736879346235,PERIPHERAL_DRIFT_BIAS,Winner at periphery (d=357.6px) beats centered GT (d=75.1px)
pair_087,SetB,0,-1,363.6409127144745,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_095,SetB,1,1,0.278223824473799,PERIODIC_ARRAY_SYMMETRY,Identical pitch replica inside same family graph component
pair_111,SetB,1,3,197.56325311785056,PERIPHERAL_DRIFT_BIAS,Winner at periphery (d=340.0px) beats centered GT (d=142.2px)
pair_123,SetB,0,-1,526.0440735898327,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_125,SetB,0,-1,626.1600750169198,RETRIEVAL_CAPACITY_SUPPRESSION,GT suppressed beyond Top-50 extraction capacity
pair_135,SetB,1,48,467.8895978758403,PERIPHERAL_DRIFT_BIAS,Winner at periphery (d=460.5px) beats centered GT (d=114.2px)
