pair_id,Failure_Mechanism
C_0,PERIODIC_REPLICA
C_1,PERIODIC_REPLICA
C_10,PERIODIC_REPLICA
C_11,PERIODIC_REPLICA
C_12,PERIODIC_REPLICA
C_13,PERIODIC_REPLICA
C_14,PERIODIC_REPLICA
C_15,PERIODIC_REPLICA
C_16,PERIODIC_REPLICA
C_17,PERIODIC_REPLICA
C_18,PERIODIC_REPLICA
C_19,PERIODIC_REPLICA
C_2,PERIODIC_REPLICA
C_20,PERIODIC_REPLICA
C_21,PERIODIC_REPLICA
C_3,PERIODIC_REPLICA
C_4,PERIODIC_REPLICA
C_5,PERIODIC_REPLICA
C_6,PERIODIC_REPLICA
C_7,PERIODIC_REPLICA
C_8,PERIODIC_REPLICA
C_9,PERIODIC_REPLICA
