pair_id,variant,gt_rank,latency_sec
pair_000,R0,1,0.0564882755279541
pair_000,R1,1,0.10438394546508789
pair_000,R2,1,0.6413803100585938
pair_000,R3,4,0.10037350654602051
pair_001,R0,2,0.023232460021972656
pair_001,R1,2,0.052918434143066406
pair_001,R2,1,0.06964850425720215
pair_001,R3,1,0.061736106872558594
pair_002,R0,2,0.02731013298034668
pair_002,R1,2,0.062351226806640625
pair_002,R2,39,0.05469250679016113
pair_002,R3,47,0.06240725517272949
pair_003,R0,27,0.03079962730407715
pair_003,R1,27,0.05853581428527832
pair_003,R2,27,0.06221318244934082
pair_003,R3,8,0.06378316879272461
pair_004,R0,2,0.08581900596618652
pair_004,R1,2,0.09375739097595215
pair_004,R2,2,0.06483268737792969
pair_004,R3,33,0.058385610580444336
pair_005,R0,2,0.04055953025817871
pair_005,R1,2,0.10922741889953613
pair_005,R2,2,0.06516671180725098
pair_005,R3,6,0.052400827407836914
pair_006,R0,8,0.02112555503845215
pair_006,R1,10,0.05043745040893555
pair_006,R2,51,0.05119776725769043
pair_006,R3,63,0.05109262466430664
pair_007,R0,2,0.02131175994873047
pair_007,R1,2,0.0498967170715332
pair_007,R2,11,0.05076265335083008
pair_007,R3,11,0.05008411407470703
pair_008,R0,1,0.02282857894897461
pair_008,R1,1,0.060959577560424805
pair_008,R2,1,0.05249905586242676
pair_008,R3,6,0.06292891502380371
pair_009,R0,1,0.024676084518432617
pair_009,R1,1,0.05298161506652832
pair_009,R2,1,0.052032470703125
pair_009,R3,1,0.051412105560302734
pair_010,R0,2,0.030539512634277344
pair_010,R1,2,0.07313752174377441
pair_010,R2,2,0.1315600872039795
pair_010,R3,7,0.0707247257232666
pair_011,R0,1,0.021692514419555664
pair_011,R1,1,0.05587434768676758
pair_011,R2,1,0.04963088035583496
pair_011,R3,1,0.04983162879943848
pair_012,R0,3,0.04150676727294922
pair_012,R1,3,0.12068438529968262
pair_012,R2,3,0.17720651626586914
pair_012,R3,10,0.23326921463012695
pair_013,R0,1,0.020893096923828125
pair_013,R1,1,0.07533812522888184
pair_013,R2,1,0.05378890037536621
pair_013,R3,1,0.053282976150512695
pair_014,R0,3,0.026787281036376953
pair_014,R1,3,0.061652183532714844
pair_014,R2,12,0.06555986404418945
pair_014,R3,12,0.1349940299987793
pair_015,R0,1,0.02318406105041504
pair_015,R1,1,0.05393052101135254
pair_015,R2,3,0.06189537048339844
pair_015,R3,3,0.06594181060791016
pair_016,R0,1,0.019613027572631836
pair_016,R1,1,0.047379255294799805
pair_016,R2,1,0.04600071907043457
pair_016,R3,1,0.047310829162597656
pair_017,R0,2,0.024596452713012695
pair_017,R1,6,0.05757260322570801
pair_017,R2,52,0.06383180618286133
pair_017,R3,54,0.057996511459350586
pair_018,R0,18,0.019856691360473633
pair_018,R1,19,0.04895925521850586
pair_018,R2,25,0.04864764213562012
pair_018,R3,29,0.04830741882324219
pair_019,R0,9,0.041155338287353516
pair_019,R1,9,0.061095237731933594
pair_019,R2,9,0.05129075050354004
pair_019,R3,18,0.05106997489929199
pair_020,R0,2,0.02882099151611328
pair_020,R1,2,0.11847996711730957
pair_020,R2,21,0.0655815601348877
pair_020,R3,21,0.06856822967529297
pair_021,R0,1,0.02375316619873047
pair_021,R1,1,0.052207231521606445
pair_021,R2,1,0.05139636993408203
pair_021,R3,1,0.05338287353515625
pair_022,R0,4,0.020751953125
pair_022,R1,4,0.04994678497314453
pair_022,R2,12,0.05144524574279785
pair_022,R3,12,0.04995465278625488
pair_023,R0,2,0.02283191680908203
pair_023,R1,2,0.05489206314086914
pair_023,R2,4,0.06589865684509277
pair_023,R3,4,0.07460474967956543
pair_024,R0,-1,0.022780895233154297
pair_024,R1,52,0.052706003189086914
pair_024,R2,39,0.06153464317321777
pair_024,R3,41,0.058788299560546875
pair_025,R0,1,0.021871089935302734
pair_025,R1,1,0.0551455020904541
pair_025,R2,1,0.05414247512817383
pair_025,R3,1,0.05315113067626953
pair_026,R0,2,0.022687911987304688
pair_026,R1,2,0.05460214614868164
pair_026,R2,2,0.05304312705993652
pair_026,R3,13,0.05381965637207031
