pair_id,set_type,gt_found,pred_found,loc_err,scale_err,theta_err,score,failure_mode
pair_000,SetA,1,1,242.54279599614685,0.006189684526892947,0.05579855608867479,0.8496761601333432,PERIODIC_REPLICA
pair_001,SetA,1,1,0.10970668733858964,0.061220457344363766,0.3108098545825282,0.9365856904475904,SUBPIXEL_SUCCESS
pair_002,SetA,1,0,-1.0,11.693066826665689,1.96306686038372,0.6151452968405182,PRESENCE_FALSE_NEGATIVE
pair_003,SetA,1,0,-1.0,8.839181877687723,1.9612051475025936,0.8109462565809823,PRESENCE_FALSE_NEGATIVE
pair_004,SetA,1,1,63.96574108968191,0.01643655543550615,0.08380381215360799,0.8445854461312312,PERIODIC_REPLICA
pair_005,SetA,1,1,29.38507222342201,0.02229751473417707,0.09606535588806331,0.8575534013118988,PERIODIC_REPLICA
pair_006,SetA,1,0,-1.0,11.548438869676003,1.233058771464365,0.8129734123304455,PRESENCE_FALSE_NEGATIVE
pair_007,SetA,1,0,-1.0,11.214641544183095,4.7282918969867005,0.8205142778437828,PRESENCE_FALSE_NEGATIVE
pair_008,SetA,1,1,15.997701420701297,0.062300399015345675,0.12310858007712167,0.8771501872706026,PERIODIC_REPLICA
pair_009,SetA,1,1,0.14580267736498306,0.08430754628743387,0.0927455292524022,0.8669630284741882,SUBPIXEL_SUCCESS
pair_010,SetA,1,1,3.9175990345061105,0.050805863748207614,0.0893638952180753,0.8789178013798589,IN_BOUNDS_SUCCESS
pair_011,SetA,1,1,0.20743744477959217,0.05868499857916376,0.08934074730958796,0.9210877762371922,SUBPIXEL_SUCCESS
pair_012,SetA,1,0,-1.0,9.18916009698428,3.859945557946375,0.8278717181544588,PRESENCE_FALSE_NEGATIVE
pair_013,SetA,1,1,0.29426633570103955,0.11164656207016144,0.028929556695903358,0.9389139086053252,SUBPIXEL_SUCCESS
pair_014,SetA,1,1,82.42141359980197,0.012291628466968518,0.0587360661390659,0.8710940684843136,PERIODIC_REPLICA
