method,set_type,mae,median,p90,max_err,improved,worsened,max_regression
V39_Baseline,SetA,0.03762,0.02625,0.08925,0.20096,0,0,0.0
V39_Baseline,SetB,0.06511,0.05943,0.1067,0.20101,0,0,0.0
V39_Baseline,Overall,0.05064,0.03838,0.09298,0.20101,0,0,0.0
Obj_A_Intensity_NCC,SetA,0.03478,0.02509,0.07003,0.20096,4,1,0.02999
Obj_A_Intensity_NCC,SetB,0.06012,0.05251,0.08951,0.20101,6,2,0.05
Obj_A_Intensity_NCC,Overall,0.04678,0.035,0.08675,0.20101,10,3,0.05
Obj_B_Gradient_Peak,SetA,0.03882,0.02721,0.07517,0.20096,10,10,0.1
Obj_B_Gradient_Peak,SetB,0.0708,0.05187,0.15918,0.24267,14,14,0.2
Obj_B_Gradient_Peak,Overall,0.05397,0.03187,0.13131,0.24267,24,24,0.2
Obj_C_0.7Int_0.3Grad,SetA,0.03363,0.02336,0.07996,0.20096,8,4,0.05
Obj_C_0.7Int_0.3Grad,SetB,0.0602,0.05152,0.1091,0.15273,11,8,0.10546
Obj_C_0.7Int_0.3Grad,Overall,0.04621,0.03255,0.09506,0.20096,19,12,0.10546
Obj_D_0.5Int_0.5Grad,SetA,0.03337,0.02384,0.069,0.20096,9,6,0.05
Obj_D_0.5Int_0.5Grad,SetB,0.05381,0.035,0.1091,0.20284,16,8,0.2
Obj_D_0.5Int_0.5Grad,Overall,0.04306,0.03004,0.09506,0.20284,25,14,0.2
Obj_E_Gradient_Only,SetA,0.04139,0.03038,0.09032,0.20096,8,11,0.1
Obj_E_Gradient_Only,SetB,0.06844,0.04519,0.1478,0.24267,15,12,0.2
Obj_E_Gradient_Only,Overall,0.0542,0.03187,0.13457,0.24267,23,23,0.2
Interp_AREA,SetA,0.03363,0.02336,0.07996,0.20096,8,4,0.05
Interp_AREA,SetB,0.0602,0.05152,0.1091,0.15273,11,8,0.10546
Interp_AREA,Overall,0.04621,0.03255,0.09506,0.20096,19,12,0.10546
Interp_CUBIC,SetA,0.0759,0.06048,0.15307,0.32893,6,25,0.3
Interp_CUBIC,SetB,0.12472,0.09808,0.23748,0.30284,8,22,0.3
Interp_CUBIC,Overall,0.09903,0.07886,0.23422,0.32893,14,47,0.3
Interp_LINEAR,SetA,0.07097,0.05873,0.13917,0.32893,5,25,0.3
Interp_LINEAR,SetB,0.12154,0.09359,0.24427,0.30284,8,22,0.3
Interp_LINEAR,Overall,0.09492,0.07263,0.22841,0.32893,13,47,0.3
