pair_id,top1_normalized_x,gt_normalized_x,top1_normalized_y,gt_normalized_y,top1_center_distance,gt_center_distance,top1_boundary_left,gt_boundary_left,top1_boundary_right,gt_boundary_right,top1_boundary_top,gt_boundary_top,top1_boundary_bottom,gt_boundary_bottom,top1_min_boundary_distance,gt_min_boundary_distance,top1_neighbor_count_10,gt_neighbor_count_10,top1_neighbor_count_20,gt_neighbor_count_20,top1_neighbor_count_50,gt_neighbor_count_50,top1_nearest_neighbor_distance,gt_nearest_neighbor_distance,top1_2nd_neighbor_distance,gt_2nd_neighbor_distance,top1_3rd_neighbor_distance,gt_3rd_neighbor_distance,top1_neighbor_distance_std,gt_neighbor_distance_std,top1_constellation_asymmetry,gt_constellation_asymmetry
pair_000,0.576,0.572,0.641,0.404,160.17802595861892,120.0,576.0,572.0,424.0,428.0,641.0,404.0,359.0,596.0,359.0,404.0,0,0,1,2,3,5,11.0,11.0,27.0,11.0,43.01162633521314,27.0,20.546053659158645,12.405227723863735,27.504545078950134,31.631175286416404
pair_002,0.4785,0.5135,0.3135,0.4585,187.73518583366305,43.64057744805859,478.5,513.5,521.5,486.5,313.5,458.5,686.5,541.5,313.5,458.5,0,0,0,0,3,1,25.612496949731394,46.22769732530488,34.132096331752024,71.84010022264724,49.4064773081425,85.07055894961546,11.73496084110514,17.277661110511538,20.236492408517837,65.28136219473365
pair_004,0.639,0.548,0.501,0.506,139.00359707575916,48.373546489791295,639.0,548.0,361.0,452.0,501.0,506.0,499.0,494.0,361.0,452.0,0,0,1,0,1,0,18.027756377319946,73.10950690573696,91.13725912051558,91.13725912051558,109.16501271011697,127.1927670899568,43.92994266378044,32.21915371484137,71.53342750071465,40.338024864884005
pair_005,0.4665,0.4965,0.3745,0.3735,129.89418770676386,126.54840970948628,466.5,496.5,533.5,503.5,374.5,373.5,625.5,626.5,374.5,373.5,0,0,2,1,5,4,10.0,10.04987562112089,10.0,20.024984394500787,20.0,30.01666203960727,7.4899984177169925,14.137578333171968,14.0089257261219,30.75228650035636
pair_008,0.6445,0.4265,0.4625,0.4505,149.2866370443115,88.61433292645158,644.5,426.5,355.5,573.5,462.5,450.5,537.5,549.5,355.5,426.5,0,0,1,1,4,3,16.0312195418814,16.0312195418814,20.024984394500787,20.024984394500787,24.331050121192877,40.049968789001575,27.636015538478873,85.23035313589767,25.261136158138257,73.40384867294085
pair_014,0.388,0.57,0.381,0.606,163.41664541900252,127.02755606560333,388.0,570.0,612.0,430.0,381.0,606.0,619.0,394.0,381.0,394.0,0,0,1,1,6,3,10.0,10.0,23.021728866442675,33.015148038438355,33.015148038438355,43.01162633521314,11.167665799819595,23.560960081369277,1.6298006013006623,33.76134068724167
pair_016,0.4775,0.4775,0.5575,0.5865,61.74544517614235,89.37840902589394,477.5,477.5,522.5,522.5,557.5,586.5,442.5,413.5,442.5,413.5,0,0,2,2,4,5,19.0,10.0,19.0,14.0,29.0,29.0,16.36581803638303,13.70255450636851,40.50308630215727,73.12670938173001
pair_018,0.6065,0.6495,0.5505,0.5345,117.86644984897102,153.42913673745284,606.5,649.5,393.5,350.5,550.5,534.5,449.5,465.5,393.5,350.5,0,0,0,0,3,3,21.37755832643195,45.880278987817846,27.202941017470888,47.265209192385896,45.880278987817846,48.507731342539614,20.38480689761506,3.1263588453081694,49.04032142023541,42.50073528775708
pair_020,0.41,0.383,0.465,0.466,96.56603957913983,121.8400590938793,410.0,383.0,590.0,617.0,465.0,466.0,535.0,534.0,410.0,383.0,0,1,0,1,2,3,27.018512172212592,8.0,35.014282800023196,27.018512172212592,58.034472514187634,31.016124838541646,29.074267845060024,24.157321040546325,15.512595688665389,14.883400989021293
pair_024,0.357,0.382,0.485,0.627,143.78456106272327,173.35801106380978,357.0,382.0,643.0,618.0,485.0,627.0,515.0,373.0,357.0,373.0,0,0,1,3,8,8,15.811388300841896,12.529964086141668,28.635642126552707,16.15549442140351,31.144823004794873,18.35755975068582,7.342297102169603,9.20369751443714,20.329319959113242,10.946603354465713
pair_029,0.3705,0.5045,0.3825,0.6305,174.86137366496925,130.57756315692217,370.5,504.5,629.5,495.5,382.5,630.5,617.5,369.5,370.5,369.5,0,0,0,1,3,4,23.021728866442675,12.0,23.021728866442675,23.021728866442675,46.04345773288535,35.014282800023196,44.729898305646216,16.278003847313485,38.34709897762802,26.139649002999256
pair_032,0.476,0.471,0.431,0.488,73.05477397131553,31.38470965295043,476.0,471.0,524.0,529.0,431.0,488.0,569.0,512.0,431.0,471.0,1,0,2,1,8,4,9.055385138137417,13.038404810405298,13.038404810405298,22.090722034374522,22.090722034374522,35.12833614050059,9.00514510544652,16.22299005171462,1.0,52.19434835305447
pair_034,0.6,0.597,0.634,0.433,167.20047846821492,117.88977903109328,600.0,597.0,400.0,403.0,634.0,433.0,366.0,567.0,366.0,403.0,0,0,2,0,8,5,12.041594578792296,27.073972741361768,16.401219466856727,45.044422518220834,29.732137494637012,45.044422518220834,10.424575930243892,7.952507569019073,20.14207350299368,22.517007461028207
pair_036,0.4055,0.3765,0.3715,0.5915,159.5070531355902,153.7026349806665,405.5,376.5,594.5,623.5,371.5,591.5,628.5,408.5,371.5,376.5,0,0,2,2,8,5,13.038404810405298,13.038404810405298,16.0312195418814,13.038404810405298,28.844410203711913,32.01562118716424,9.566967272827814,13.938995586499553,24.24162226419676,26.476994731275678
pair_038,0.406,0.375,0.493,0.491,94.26027795418386,125.32358118087753,406.0,375.0,594.0,625.0,493.0,491.0,507.0,509.0,406.0,375.0,0,0,1,1,4,4,19.026297590440446,19.026297590440446,31.064449134018133,31.064449134018133,31.064449134018133,31.064449134018133,11.277443082163213,11.277443082163213,8.140370077582467,8.140370077582467
pair_040,0.433,0.643,0.63,0.586,146.24978632463024,166.86821147240718,433.0,643.0,567.0,357.0,630.0,586.0,370.0,414.0,370.0,357.0,0,0,6,0,23,0,10.63014581273465,68.30812543175226,10.63014581273465,71.8679344353238,12.727922061357855,84.59905436823747,2.368964222016243,24.939916474037606,1.3287682265918312,54.280809223886855
pair_044,0.485,0.488,0.515,0.602,21.213203435596427,102.70345661174214,485.0,488.0,515.0,512.0,515.0,602.0,485.0,398.0,485.0,398.0,0,0,0,0,1,1,25.019992006393608,29.017236257093817,58.034472514187634,62.03224967708329,87.05170877128145,87.05170877128145,59.57558288683147,47.42958028824425,27.672752844630402,63.339980462579874
