pair_id,ncc,grad,ctx,phase,union,union_size
pair_000,False,False,False,False,False,628
pair_001,True,True,False,True,True,616
pair_002,False,False,False,False,False,660
pair_003,True,False,False,False,True,622
pair_004,False,False,False,False,False,650
pair_005,True,False,False,True,True,696
pair_006,False,False,False,False,False,644
pair_007,True,True,False,False,True,760
pair_008,True,True,False,False,True,614
pair_009,True,True,False,False,True,623
pair_010,True,True,False,False,True,647
pair_011,True,True,False,True,True,625
pair_012,True,True,False,False,True,639
pair_013,True,True,False,True,True,615
pair_014,False,False,False,False,False,623
pair_015,True,True,False,False,True,739
pair_016,True,True,False,False,True,637
pair_017,False,False,False,True,True,688
pair_018,False,False,True,False,True,613
pair_019,True,False,False,True,True,767
pair_020,True,True,False,False,True,611
pair_021,True,True,False,True,True,604
pair_022,True,True,False,False,True,678
pair_023,True,True,False,True,True,618
pair_024,False,False,False,False,False,659
pair_025,True,True,False,True,True,696
pair_026,True,True,False,False,True,646
pair_027,True,True,False,False,True,762
pair_028,True,True,False,False,True,689
pair_029,True,True,False,True,True,624
pair_030,False,False,False,False,False,664
pair_031,False,False,False,True,True,667
pair_032,True,True,False,False,True,568
pair_033,True,True,False,True,True,640
pair_034,False,False,False,False,False,653
pair_035,True,True,False,True,True,719
pair_036,False,True,False,False,True,683
pair_037,True,True,False,True,True,632
pair_038,True,True,False,False,True,639
pair_039,True,True,False,True,True,641
pair_040,False,False,False,False,False,684
pair_041,True,True,False,True,True,674
pair_042,False,False,False,False,False,636
pair_043,False,False,False,False,False,656
pair_044,True,True,False,False,True,690
pair_045,True,True,False,True,True,724
pair_046,False,False,False,False,False,642
pair_047,True,True,False,True,True,684
pair_048,True,False,False,False,True,646
pair_049,True,True,False,True,True,646
pair_050,True,True,False,False,True,619
pair_051,True,True,False,True,True,624
pair_052,True,True,False,False,True,680
pair_053,True,True,False,True,True,669
pair_054,True,True,False,False,True,618
pair_055,True,True,False,False,True,643
pair_056,False,False,False,False,False,625
pair_057,True,True,False,True,True,662
pair_058,False,False,False,False,False,661
pair_059,True,True,False,True,True,619
pair_060,False,False,False,False,False,694
pair_061,True,False,False,True,True,671
pair_062,True,True,False,False,True,613
pair_063,True,True,False,True,True,641
pair_064,True,True,False,False,True,648
pair_065,True,True,False,True,True,609
pair_066,True,True,False,False,True,618
pair_067,True,False,False,True,True,647
pair_068,False,False,False,False,False,654
pair_069,True,True,False,True,True,632
pair_070,False,False,False,False,False,667
pair_071,True,True,False,False,True,624
pair_072,True,False,False,False,True,732
pair_073,True,False,False,False,True,635
pair_074,True,True,False,False,True,629
pair_075,False,False,True,False,True,670
pair_076,False,False,False,False,False,758
pair_077,True,True,False,False,True,687
pair_078,True,True,False,False,True,630
pair_079,True,True,False,False,True,615
pair_080,True,False,False,False,True,649
pair_081,True,True,False,False,True,631
pair_082,False,False,False,False,False,674
pair_083,False,False,False,True,True,664
pair_084,True,True,False,False,True,677
pair_085,False,False,False,False,False,658
pair_086,False,False,False,False,False,769
pair_087,True,True,False,True,True,623
pair_088,True,True,True,False,True,647
pair_089,True,True,False,True,True,667
pair_090,True,True,False,False,True,703
pair_091,False,False,False,True,True,679
pair_092,True,True,False,False,True,708
pair_093,True,True,False,True,True,652
pair_094,False,False,False,False,False,687
pair_095,True,True,False,False,True,720
pair_096,True,True,False,False,True,627
pair_097,True,True,False,False,True,663
pair_098,True,True,False,True,True,639
pair_099,True,True,False,True,True,615
pair_100,True,True,False,False,True,671
pair_101,True,True,False,True,True,685
pair_102,False,True,False,False,True,623
pair_103,True,True,False,True,True,644
pair_104,False,False,False,False,False,744
pair_105,True,True,False,False,True,560
pair_106,True,True,False,False,True,667
pair_107,True,False,False,True,True,643
pair_108,False,False,False,False,False,710
pair_109,True,True,False,False,True,628
pair_110,False,False,False,False,False,679
pair_111,True,True,False,True,True,658
pair_112,False,False,False,False,False,663
pair_113,False,False,False,False,False,662
pair_114,True,True,False,False,True,707
pair_115,True,True,False,False,True,711
pair_116,True,True,False,False,True,678
pair_117,True,True,False,True,True,628
pair_118,False,True,False,False,True,724
pair_119,False,False,False,False,False,684
pair_120,False,False,False,False,False,722
pair_121,False,True,False,False,True,673
pair_122,True,True,False,False,True,719
pair_123,True,True,False,False,True,614
pair_124,False,False,False,False,False,649
pair_125,True,True,False,True,True,614
pair_126,True,True,False,False,True,767
pair_127,False,False,False,False,False,673
pair_128,True,True,False,False,True,647
pair_129,True,True,False,True,True,649
pair_130,True,True,False,False,True,668
pair_131,True,True,False,True,True,619
pair_132,True,False,False,False,True,705
pair_133,True,True,False,True,True,661
pair_134,False,False,False,False,False,668
pair_135,True,True,False,True,True,641
pair_136,True,False,False,True,True,686
pair_137,False,False,False,False,False,660
pair_138,False,False,False,False,False,680
pair_139,True,False,False,False,True,756
