pair_id,set_type,gt_found,gt_x,gt_y,v46_cx,v46_cy,v46_score,v46_consensus,ncc,grad,ctx,phase,ncc_pct,grad_pct,ctx_pct,phase_pct,prom5_ncc,prom10_ncc,prom20_ncc,prom5_grad,prom10_grad,z5_ncc,z10_ncc,comp10,comp20,comp40,d1,d2,dist_center,dist_border,curve_x,curve_y,sharpness,v25_cx,v25_cy,v25_found,v25_presence_score,v25_ml_score,v25_ncc,dist_v25_v46,delta_ncc,pop,is_correct,oof_lr,oof_hgb2,oof_hgb3,oof_hand
pair_000,SetA,1,571.9958979375593,398.53034370617024,567.0,102.0,0.91877395,4,0.8285162,0.7001065,0.82976,0.93907326,99.99898775307756,99.99886122221224,99.99872543714608,99.9986,0.6037452,0.68331337,0.7527525,0.44883314,0.5152483,2.2033408,2.5621462,0,3,5,11.0,11.0,0.8072000991080216,102.0,-0.5163822770118713,-0.4812737703323364,0.9976560473442078,576.0041195015351,641.0303778220251,1,0.5915493032787924,0.1959262509339319,0.840872585773468,539.1055762862717,-0.0123564004898071,D,0,0.03873479021029681,0.0006582951206373351,0.001176462061121309,0.8
pair_001,SetA,1,373.394215556507,522.6150317343146,649.5,348.5,0.9158768,4,0.84932977,0.6436829,0.8809021,0.9075511,99.9970204610896,99.99630537175112,99.98256819634469,99.9977,0.5592142,0.68954265,0.8067404,0.6093932,0.6484359,1.8715056,2.4131546,0,1,3,11.0,22.0,0.4256876789384443,348.5,-0.0656734108924865,-0.2181553244590759,0.2838287353515625,372.9761899901738,522.5700979340797,1,0.6496997132014158,0.9253164132900256,0.8823164701461792,326.75038867173606,-0.0329867005348205,A,0,0.6378257541490137,0.09560481806373268,0.08595986699081545,0.8
pair_002,SetA,1,506.9538393948501,470.58932107692567,734.5,482.5,0.7119597,3,0.70022154,0.46464422,0.71791106,0.7856944,99.99725882420243,99.98820102591483,99.98614395094064,99.7719,0.6666601,0.70051336,0.7015059,0.49628928,0.4590728,2.0223372,2.0527573,0,0,3,22.20360331117452,23.853720883753127,0.4703041569027431,265.5,-0.6991337537765503,-0.959540843963623,1.6586745977401731,0.0,0.0,0,0.550217029411571,0.0003348905322553,0.703711986541748,878.8040168319669,-0.0034904479980468,D,0,0.11356234211725355,0.005402372799402419,0.0033900518852857686,1.0
pair_003,SetA,1,607.6968809170181,645.8140267959674,57.0,656.0,0.8324243,3,0.8568027,0.61758804,0.85653305,0.7841983,99.9851290531274,99.97763002863611,99.90946424477704,99.9972,0.7195506,0.9855812,0.8319909,0.5521561,0.6292798,1.6719538,2.3333554,1,2,7,7.0,17.804493814764857,0.9393295481352644,57.0,0.0,0.0,0.0,433.4987649327444,640.4155749225612,1,0.6572956103254076,0.0001539189046451,0.8644014596939087,376.8211701867031,-0.0075987577438354,D,0,0.10750112532287395,0.015080347562607574,0.0037947595684220026,0.6000000000000001
pair_004,SetA,1,560.304385883243,505.4287915025294,515.0,124.0,0.7572119,3,0.7255158,0.54163647,0.74796253,0.8413989,99.99345930318984,99.99250792910836,99.99698932548624,99.9648,0.49494785,0.57201666,0.66178226,0.3788765,0.41296518,2.3104348,2.5076504,0,2,4,12.041594578792296,18.027756377319943,0.7525981663543966,124.0,-0.4425855875015259,-0.6480475068092346,1.0906331539154053,0.0,0.0,0,0.5769299745569999,0.0003453219150078,0.7417078018188477,529.717849425522,-0.0161920189857482,D,0,0.03920085157003653,0.0008152382536861211,0.0012430812527777725,0.8
pair_005,SetA,1,492.8803672127779,373.9741749168665,321.5,801.5,0.81520396,3,0.791975,0.65702933,0.8751952,0.74358153,99.92770373162833,99.9872272458966,99.97860962566844,99.9328,0.70566493,0.91145706,0.77659076,0.58914286,0.68031883,1.6642972,2.303818,0,3,11,13.341664064126334,14.7648230602334,0.7007553067940334,198.5,-0.1469826102256775,-0.2636099457740783,0.4105925559997558,467.0032466331452,374.09644277785816,1,0.6408004948944498,0.0001553482453176,0.8732253313064575,451.4919661598937,-0.0812503099441528,D,0,0.02698137513756587,0.0023203405550759238,0.0015147675769519133,0.8
pair_006,SetA,1,575.80239958051,444.3205630964013,150.5,532.5,0.6949664,3,0.708775,0.4787142,0.7341304,0.6519527,99.99712711097492,99.97474251732112,99.99350522101844,94.1678,0.6742103,0.6988729,0.71334845,0.5050886,0.48042354,2.0534744,2.0594633,0,0,4,23.40939982143925,24.186773244895647,0.7020156693407918,150.5,-0.7209298014640808,-0.9151132106781006,1.6360430717468262,0.0,0.0,0,0.5514153094459615,0.000180410750787,0.7174614667892456,553.3592865399478,-0.0086864829063415,D,0,0.02363810175937594,0.0009094131900930028,0.0008303106431895472,1.0
pair_007,SetA,1,593.4639558322576,511.994170997082,437.0,525.0,0.81762207,4,0.8520575,0.7017353,0.6314384,0.5884018,99.9959211534978,99.94385587755784,91.91425326773916,88.2717,0.6082159,0.7664971,0.82484686,0.64704305,0.7213796,1.6511674,2.1823084,1,4,8,6.0,11.04536101718726,0.1355581056226443,437.0,-0.0561800003051757,-0.2642213106155395,0.3204013109207153,750.469000618897,498.9561623636368,1,0.6563824693252776,0.0009029959889898,0.8614166378974915,314.5490356491962,-0.0093591213226318,D,0,0.8087255495420639,0.655955359395412,0.7665011109926243,0.8
pair_008,SetA,1,422.47519132408166,450.34835894814296,902.5,476.5,0.7544531,3,0.7830517,0.63622797,0.8160351,0.54060507,99.99962125994192,99.99873753313976,99.98064981849066,79.2706,0.648104,0.70855176,0.735543,0.39519033,0.44496948,2.0580456,2.309759,2,4,7,8.0,9.433981132056603,0.8063708824108172,97.5,-0.5973959565162659,-0.5482380986213684,1.1456340551376345,0.0,0.0,0,0.5733652374853991,0.0001893854478728,0.7869817614555359,1020.5677341558472,-0.0039300322532653,D,0,0.008395754028016122,0.0010833411461478027,0.0011253467870954651,0.8
pair_009,SetA,1,563.0039110938745,430.0475336900847,886.0,416.0,0.85271466,3,0.8627719,0.65606844,0.8332517,0.850385,99.987312161478,99.99544223276396,99.67537804076264,99.9872,0.5528134,0.76785016,0.80163014,0.569638,0.6694148,1.8930593,2.787528,0,1,3,13.0,26.019223662515376,0.7900683514734659,114.0,-0.0747302174568176,-0.202231228351593,0.2769614458084106,562.8284662421587,430.0641304263631,1,0.6501543125095061,0.7001673930658726,0.8905602693557739,323.47741806198053,-0.0277883410453796,A,0,0.136583641194987,0.0011725324467800847,0.0016861305813832344,0.8
