Feature,AUC,Dir,Med_B,Med_C
dist_border,0.9972222222222222,+,407.75,151.25
dist_center,0.9944444444444445,-,0.22527284367285622,0.8062022091224926
v25_ml_score,0.7930555555555556,+,0.17596906757954064,0.00034436077769915
delta_ncc,0.7319444444444444,+,-0.0011785924434661499,-0.00991606712341305
ncc_pct,0.725,+,99.99988042704287,99.99533199970213
dist_v25_v46,0.7,-,490.9821895606771,700.340798026168
prom10_ncc,0.6930555555555556,+,0.7461643,0.6829461
v25_presence_score,0.6819444444444445,+,0.6151563817928578,0.5653500139525695
phase_pct,0.6798611111111111,+,99.99905,99.9798
prom20_ncc,0.6708333333333333,+,0.765737625,0.712254985
ncc,0.6694444444444445,+,0.8188654,0.751756325
phase,0.6652777777777777,+,0.89985658,0.7843680850000001
v46_score,0.6652777777777777,+,0.8424570499999999,0.76402863
sharpness,0.6611111111111111,-,0.25664412975311274,0.34384226799011225
curve_x,0.6583333333333333,+,-0.0738877356052398,-0.14239835739135737
z5_ncc,0.6527777777777778,-,1.7461547,1.9126131499999999
ctx,0.648611111111111,+,0.808709025,0.7354196049999999
prom10_grad,0.6458333333333334,+,0.505555915,0.431463555
comp40,0.6451388888888889,-,3.0,4.5
comp20,0.6430555555555555,-,2.0,2.5
curve_y,0.6375,+,-0.16332376003265375,-0.2343731075525283
prom5_grad,0.625,+,0.42178929,0.389905585
grad_pct,0.6152777777777778,+,99.99855381595559,99.99258503515077
z10_ncc,0.6041666666666666,+,2.3963456,2.317057
grad,0.5777777777777778,+,0.5148499799999999,0.49126839
comp10,0.5590277777777778,-,0.0,1.0
d2,0.5513888888888889,+,14.035850594389103,13.038404810405298
ctx_pct,0.5458333333333334,-,99.98169134835513,99.98893872934839
prom5_ncc,0.5444444444444445,+,0.51911815,0.5135736799999999
d1,0.5416666666666666,+,11.02268050859363,8.82885520259002
v46_consensus,0.5069444444444444,-,4.0,4.0
