pair_id,set_type,est_scale,gt_scale,scale_error,est_rot,gt_rot,rot_error,gt_x,gt_y,retrieved_top100,retrieved_rank,gt_corr_val,max_corr_val,raw_rank
pair_000,SetA,8.899999999999999,8.906189684526892,0.006189684526892947,1.0,0.0,1.0,571.9958979375593,398.53034370617024,0,-1,0.7840385437011719,0.840872585773468,128
pair_001,SetA,11.699999999999998,11.638779542655634,0.061220457344363766,-0.75,0.0,0.75,373.394215556507,522.6150317343146,1,0,0.8823164701461792,0.8823164701461792,0
pair_002,SetA,11.699999999999998,11.693066826665689,0.006933173334308762,-2.0,0.0,2.0,506.9538393948501,470.58932107692567,0,-1,0.6126058101654053,0.703711986541748,8280
pair_003,SetA,8.799999999999999,8.839181877687723,0.03918187768772441,-2.0,0.0,2.0,607.6968809170181,645.8140267959674,0,-1,0.8521825075149536,0.8644014596939087,253
pair_004,SetA,11.899999999999999,11.883563444564494,0.016436555435504374,3.25,0.0,3.25,560.304385883243,505.4287915025294,0,-1,0.6430841684341431,0.7417078018188477,684
pair_005,SetA,9.699999999999998,9.67770248526582,0.02229751473417707,1.5,0.0,1.5,492.8803672127779,373.9741749168665,1,57,0.8287512063980103,0.8732253313064575,231
pair_006,SetA,11.499999999999998,11.548438869676003,0.04843886967600497,1.25,0.0,1.25,575.80239958051,444.3205630964013,0,-1,0.6402271389961243,0.7174614667892456,5260
pair_007,SetA,11.299999999999999,11.214641544183095,0.0853584558169036,4.75,0.0,4.75,593.4639558322576,511.994170997082,1,31,0.849291205406189,0.8614166378974915,57
pair_008,SetA,8.999999999999998,9.062300399015344,0.062300399015345675,-3.0,0.0,3.0,422.47519132408166,450.34835894814296,1,9,0.7753410339355469,0.7869817614555359,22
pair_009,SetA,9.999999999999998,9.915692453712564,0.08430754628743387,-2.0,0.0,2.0,563.0039110938745,430.0475336900847,1,0,0.8905602693557739,0.8905602693557739,0
pair_010,SetA,11.999999999999998,11.94919413625179,0.050805863748207614,-4.75,0.0,4.75,417.9476615652271,379.3784667651839,1,6,0.7105246186256409,0.7404829263687134,7
pair_011,SetA,8.899999999999999,8.841315001420835,0.05868499857916376,-2.0,0.0,2.0,419.3732733102879,570.9308170645421,1,0,0.8794574737548828,0.8794574737548828,0
pair_012,SetA,9.199999999999998,9.18916009698428,0.010839903015718022,4.0,0.0,4.0,415.3336028778185,532.7045826839757,1,16,0.8039388656616211,0.8261119723320007,16
pair_013,SetA,11.7,11.81164656207016,0.11164656207016144,-1.0,0.0,1.0,502.2262516372216,399.6174248178575,1,0,0.8775079250335693,0.8775079250335693,0
pair_014,SetA,10.899999999999999,10.912291628466969,0.012291628466970295,-1.5,0.0,1.5,553.5988731132766,605.6026301285106,0,-1,0.6016291379928589,0.7607360482215881,5817
pair_015,SetA,11.599999999999998,11.607515229888552,0.007515229888554131,-2.5,0.0,2.5,569.1270705065555,421.203732513507,1,8,0.8775427341461182,0.8847744464874268,15
pair_016,SetA,10.099999999999998,10.057211825069125,0.04278817493087317,0.5,0.0,0.5,477.5328038616003,586.1320035095774,1,30,0.7733441591262817,0.8090254664421082,54
pair_017,SetA,9.099999999999998,8.97877119378156,0.12122880621843812,4.0,0.0,4.0,536.4555630659518,415.1719385817246,0,-1,0.7978822588920593,0.8255913257598877,1711
pair_018,SetA,9.199999999999998,9.186375492262773,0.01362450773722479,0.5,0.0,0.5,633.8302029584735,529.3771388419595,0,-1,0.7813079357147217,0.8325967192649841,3272
pair_019,SetA,8.599999999999998,8.635375579086986,0.035375579086988296,2.75,0.0,2.75,462.50661641112623,460.2952345169986,1,17,0.8684737682342529,0.888437807559967,34
pair_020,SetA,9.299999999999999,9.27796825375544,0.022031746244559614,2.0,0.0,2.0,359.5974759091987,466.8878186295023,0,-1,0.7431933283805847,0.809697687625885,221
pair_021,SetA,11.599999999999998,11.629387930389385,0.029387930389386696,0.75,0.0,0.75,465.1522506975749,532.2503646150753,1,0,0.8821737170219421,0.8821737170219421,0
pair_022,SetA,10.299999999999999,10.391533850352392,0.09153385035239303,-2.75,0.0,2.75,445.9727890984229,353.832497318668,1,11,0.686416745185852,0.7352091670036316,17
pair_023,SetA,9.299999999999999,9.291776682617442,0.008223317382556772,5.0,0.0,5.0,357.48726056680914,561.5979415955231,1,3,0.862308919429779,0.8701419234275818,4
pair_024,SetA,9.399999999999999,9.3812787187611,0.018721281238898158,4.0,0.0,4.0,366.6139153673995,627.9868842791703,0,-1,0.7227766513824463,0.7902447581291199,4513
pair_025,SetA,11.199999999999998,11.18954160630585,0.010458393694147361,-3.5,0.0,3.5,379.1116367088906,515.4013269230493,1,0,0.8413351774215698,0.8413351774215698,0
pair_026,SetA,11.899999999999999,11.9648696305921,0.06486963059210105,-3.5,0.0,3.5,514.0043003399667,617.9084304340807,1,12,0.7092188000679016,0.7166341543197632,13
pair_027,SetA,10.299999999999999,10.122298773883395,0.17770122611660355,-4.75,0.0,4.75,603.9420312048406,417.7763906775965,1,11,0.8324912786483765,0.8522317409515381,54
pair_028,SetA,11.599999999999998,11.559633536805816,0.040366463194182245,1.0,0.0,1.0,477.91187520368914,439.8842365822546,1,2,0.7668560743331909,0.7708466053009033,2
pair_029,SetA,11.199999999999998,11.11090566392888,0.08909433607111694,-2.25,0.0,2.25,505.0122385387808,618.7091177721555,0,-1,0.8521376252174377,0.8779050707817078,173
pair_030,SetA,10.199999999999998,10.172257531768713,0.02774246823128479,4.25,0.0,4.25,436.1278420959197,611.0108527600154,0,-1,0.7644966840744019,0.784014880657196,810
pair_031,SetA,11.699999999999998,11.700371578194344,0.0003715781943469665,-0.75,0.0,0.75,515.2050624964362,524.1079983471228,0,-1,0.814950168132782,0.8406174182891846,2257
pair_032,SetA,10.899999999999999,10.888322891579843,0.011677108420155236,-4.75,0.0,4.75,471.0536823948475,488.1316627573783,1,11,0.7897263169288635,0.79792720079422,11
pair_033,SetA,8.999999999999998,8.970497872643154,0.0295021273568441,1.75,0.0,1.75,506.487300176383,415.4853036556477,1,0,0.9072321653366089,0.9072321653366089,0
pair_034,SetA,8.899999999999999,8.854218054076412,0.04578194592358642,4.25,0.0,4.25,600.6392691360397,427.2759208637932,0,-1,0.7048328518867493,0.776939868927002,4791
pair_035,SetA,11.099999999999998,11.019563374324209,0.08043662567578913,2.25,0.0,2.25,381.3987859700967,390.8476615420415,1,0,0.8821321129798889,0.8821321129798889,0
pair_036,SetA,10.999999999999998,11.018218160766835,0.018218160766837244,3.5,0.0,3.5,369.9263348959626,591.9291431014253,0,-1,0.5828651785850525,0.7587499022483826,14227
pair_037,SetA,10.599999999999998,10.623152214873231,0.02315221487323349,-4.25,0.0,4.25,637.3473505721319,414.3333441028385,1,0,0.8756048679351807,0.8756048679351807,0
pair_038,SetA,9.299999999999999,9.3118251640608,0.011825164060800475,-3.75,0.0,3.75,363.5338391870325,490.2092338110844,0,-1,0.6934570670127869,0.7915728688240051,358
pair_039,SetA,9.999999999999998,9.890619445668792,0.10938055433120653,-3.75,0.0,3.75,414.3196668371812,445.5629858295304,1,3,0.8616511225700378,0.8713593482971191,3
pair_040,SetA,11.299999999999999,11.350862475242376,0.050862475242377414,3.75,0.0,3.75,630.593738588206,591.0880887782025,0,-1,0.6455408930778503,0.7394642233848572,7147
pair_041,SetA,8.2,8.226955404952816,0.02695540495281712,-0.5,0.0,0.5,377.178171218729,679.0484563009845,1,0,0.9148983359336853,0.9148983359336853,0
pair_042,SetA,8.999999999999998,9.000358492156733,0.00035849215673522394,3.0,0.0,3.0,668.4494920156358,568.0786817680777,0,-1,0.7866575717926025,0.8316231966018677,122
pair_043,SetA,9.199999999999998,9.182870746798272,0.017129253201725092,0.5,0.0,0.5,564.7977986922531,533.8204042709664,0,-1,0.8532745838165283,0.8737229108810425,489
pair_044,SetA,11.599999999999998,11.6117267036346,0.011726703634602487,2.0,0.0,2.0,488.5538592082335,610.1011136314564,1,90,0.6772239208221436,0.760347843170166,532
pair_045,SetA,10.299999999999999,10.270378923458068,0.02962107654193069,-4.75,0.0,4.75,375.918386738488,572.8570018542118,1,58,0.8551380634307861,0.8813332319259644,150
pair_046,SetA,11.2,11.237285430720764,0.03728543072076462,1.25,0.0,1.25,443.0353460101062,368.1839792604088,0,-1,0.5651557445526123,0.7537648677825928,20900
pair_047,SetA,9.399999999999999,9.357290086822433,0.042709913177565895,2.75,0.0,2.75,500.265199440106,488.8036102103926,1,0,0.8536922335624695,0.8536922335624695,0
pair_048,SetA,11.299999999999999,11.445229253128096,0.14522925312809676,-2.5,0.0,2.5,372.2592562218046,453.5909777894977,0,-1,0.6868903636932373,0.7585574388504028,324
pair_049,SetA,11.099999999999998,11.043312398715264,0.05668760128473416,2.25,0.0,2.25,435.9720122977421,504.35336785436,1,0,0.8790343999862671,0.8790343999862671,0
pair_050,SetA,8.1,8.089668815387185,0.010331184612814681,-2.0,0.0,2.0,523.0402884416775,624.2321491754209,0,-1,0.7537416219711304,0.8428255915641785,496
pair_051,SetA,11.499999999999998,11.370716893964577,0.12928310603542137,-2.5,0.0,2.5,583.0687185699024,574.3139849533147,1,1,0.8788166046142578,0.8802597522735596,1
pair_052,SetA,10.599999999999998,10.605906230985118,0.005906230985120331,-0.5,0.0,0.5,580.7489974922584,537.8446461986192,1,33,0.7271311283111572,0.7753689289093018,206
pair_053,SetA,11.599999999999998,11.48485682947156,0.11514317052843737,-5.0,0.0,5.0,481.9060221764303,519.3259577042813,1,0,0.8439620137214661,0.8445104956626892,1
pair_054,SetA,10.499999999999998,10.565138816770448,0.06513881677044964,3.5,0.0,3.5,524.3944849087668,385.2139829045786,1,4,0.7350257039070129,0.7575390338897705,4
pair_055,SetA,11.499999999999998,11.509638262345018,0.0096382623450193,-1.0,0.0,1.0,404.9636330057472,391.4923593167131,1,0,0.8865199685096741,0.8865199685096741,0
pair_056,SetA,9.099999999999998,9.09806019061035,0.001939809389646996,-2.25,0.0,2.25,503.63453564902574,449.4331566071532,0,-1,0.677405834197998,0.8280072212219238,13358
pair_057,SetA,8.599999999999998,8.676415774304342,0.0764157743043441,-0.5,0.0,0.5,551.3003772449036,447.9003532222361,1,0,0.8756587505340576,0.8756587505340576,0
pair_058,SetA,8.0,8.065466782548414,0.06546678254841432,-0.75,0.0,0.75,409.69162392649287,578.3278051888444,0,-1,0.7889804840087891,0.8055020570755005,613
pair_059,SetA,8.399999999999999,8.319051125201149,0.0809488747988496,1.25,0.0,1.25,614.5899867242111,423.4540121109193,1,0,0.850341796875,0.850341796875,0
pair_060,SetA,11.199999999999998,11.161132102027924,0.03886789797207335,-2.25,0.0,2.25,560.1155584056785,517.980210360295,0,-1,0.5266236066818237,0.7270288467407227,31225
pair_061,SetA,11.099999999999998,11.069189775995708,0.030810224004289566,2.0,0.0,2.0,594.2687468898076,437.7733349522034,0,-1,0.8517186045646667,0.8623265027999878,389
