method,param,top20,top50,top100,latency_ms
NMS(r=1),1,40.714285714285715,48.57142857142857,55.00000000000001,17.422068571457725
NMS(r=2),2,40.714285714285715,49.28571428571429,55.00000000000001,17.445042142831618
NMS(r=3),3,40.0,49.28571428571429,56.42857142857143,17.56346142854974
NMS(r=4),4,40.714285714285715,49.28571428571429,58.57142857142858,17.106114999998162
NMS(r=5),5,40.0,50.0,60.71428571428571,17.573142857145285
NMS(r=7),7,40.0,50.71428571428571,60.0,17.796214285720325
NMS(r=10),10,40.0,51.42857142857142,59.285714285714285,17.80414071430901
NMS(r=12),12,40.0,49.28571428571429,56.42857142857143,17.81605999998906
NMS(r=15),15,39.285714285714285,45.714285714285715,49.28571428571429,16.912560000024055
LocalMax(w=1),1,40.714285714285715,48.57142857142857,55.00000000000001,51.1249921428576
LocalMax(w=2),2,40.714285714285715,49.28571428571429,55.00000000000001,49.48948428573203
LocalMax(w=3),3,40.0,50.0,55.714285714285715,33.56858357141651
LocalMax(w=4),4,40.714285714285715,49.28571428571429,57.14285714285714,24.283195714295807
LocalMax(w=5),5,39.285714285714285,47.85714285714286,56.42857142857143,22.94903928569901
LocalMax(w=7),7,39.285714285714285,47.14285714285714,53.57142857142857,22.01047142859482
