pair_id,set_type,gt_x,gt_y,best_rank,min_dist,top20,top50,top100,rescue_category
pair_000,SetA,571.9958979375593,398.53034370617024,3,4.2421553166682235,1,1,1,RETRIEVED_TOP100
pair_001,SetA,373.394215556507,522.6150317343146,0,2.120537850621822,1,1,1,RETRIEVED_TOP100
pair_002,SetA,506.9538393948501,470.58932107692567,-1,13.299414323724507,0,0,0,RESCUE_DENSITY_CAP
pair_003,SetA,607.6968809170181,645.8140267959674,-1,10.784465127901301,0,0,0,RESCUE_DENSITY_CAP
pair_004,SetA,560.304385883243,505.4287915025294,-1,8.869312173224094,0,0,0,RESCUE_DENSITY_CAP
pair_005,SetA,492.8803672127779,373.9741749168665,86,4.9206571857549335,0,0,1,RETRIEVED_TOP100
pair_006,SetA,575.80239958051,444.3205630964013,-1,134.84385309452313,0,0,0,RESCUE_DENSITY_CAP
pair_007,SetA,593.4639558322576,511.994170997082,54,1.818222892286309,0,0,1,RETRIEVED_TOP100
pair_008,SetA,422.47519132408166,450.34835894814296,9,1.2925598722915608,1,1,1,RETRIEVED_TOP100
pair_009,SetA,563.0039110938745,430.0475336900847,0,1.450918438874796,1,1,1,RETRIEVED_TOP100
pair_010,SetA,417.9476615652271,379.3784667651839,7,3.6593458722423655,1,1,1,RETRIEVED_TOP100
pair_011,SetA,419.3732733102879,570.9308170645421,0,3.7635848757377577,1,1,1,RETRIEVED_TOP100
pair_012,SetA,415.3336028778185,532.7045826839757,16,4.277692771532117,1,1,1,RETRIEVED_TOP100
pair_013,SetA,502.2262516372216,399.6174248178575,0,2.2489324998175046,1,1,1,RETRIEVED_TOP100
pair_014,SetA,553.5988731132766,605.6026301285106,-1,5.023627967919452,0,0,0,RESCUE_DENSITY_CAP
pair_015,SetA,569.1270705065555,421.203732513507,14,1.1815446714243065,1,1,1,RETRIEVED_TOP100
pair_016,SetA,477.5328038616003,586.1320035095774,54,0.5489124533811975,0,0,1,RETRIEVED_TOP100
pair_017,SetA,536.4555630659518,415.1719385817246,-1,126.2192497267087,0,0,0,RESCUE_DENSITY_CAP
pair_018,SetA,633.8302029584735,529.3771388419595,-1,19.704048740424586,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_019,SetA,462.50661641112623,460.2952345169986,3,3.0960699811713845,1,1,1,RETRIEVED_TOP100
pair_020,SetA,359.5974759091987,466.8878186295023,-1,12.231785689765383,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_021,SetA,465.1522506975749,532.2503646150753,0,1.131650162414764,1,1,1,RETRIEVED_TOP100
pair_022,SetA,445.9727890984229,353.832497318668,-1,7.82835363605281,0,0,0,RESCUE_DENSITY_CAP
pair_023,SetA,357.48726056680914,561.5979415955231,3,1.0174643559719232,1,1,1,RETRIEVED_TOP100
pair_024,SetA,366.6139153673995,627.9868842791703,-1,6.170801510405278,0,0,0,RESCUE_DENSITY_CAP
pair_025,SetA,379.1116367088906,515.4013269230493,0,3.1794194272282867,1,1,1,RETRIEVED_TOP100
pair_026,SetA,514.0043003399667,617.9084304340807,13,0.7717983572663604,1,1,1,RETRIEVED_TOP100
pair_027,SetA,603.9420312048406,417.7763906775965,37,3.338483326671522,0,1,1,RETRIEVED_TOP100
pair_028,SetA,477.91187520368914,439.8842365822546,2,1.5585068420528405,1,1,1,RETRIEVED_TOP100
pair_029,SetA,505.0122385387808,618.7091177721555,-1,9.207358520141485,0,0,0,RESCUE_DENSITY_CAP
pair_030,SetA,436.1278420959197,611.0108527600154,-1,52.8820639339994,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_031,SetA,515.2050624964362,524.1079983471228,-1,261.1107791272919,0,0,0,RESCUE_DENSITY_CAP
pair_032,SetA,471.0536823948475,488.1316627573783,-1,5.081105484712719,0,0,0,RESCUE_DENSITY_CAP
pair_033,SetA,506.487300176383,415.4853036556477,0,1.3948422606583957,1,1,1,RETRIEVED_TOP100
pair_034,SetA,600.6392691360397,427.2759208637932,-1,6.652438034404236,0,0,0,RESCUE_DENSITY_CAP
pair_035,SetA,381.3987859700967,390.8476615420415,0,1.9856723595055847,1,1,1,RETRIEVED_TOP100
pair_036,SetA,369.9263348959626,591.9291431014253,5,4.988545146959722,1,1,1,RETRIEVED_TOP100
pair_037,SetA,637.3473505721319,414.3333441028385,0,1.6400264284292603,1,1,1,RETRIEVED_TOP100
pair_038,SetA,363.5338391870325,490.2092338110844,-1,7.550829817428424,0,0,0,RESCUE_DENSITY_CAP
pair_039,SetA,414.3196668371812,445.5629858295304,3,1.434738166150162,1,1,1,RETRIEVED_TOP100
pair_040,SetA,630.593738588206,591.0880887782025,-1,12.74164242677787,0,0,0,RESCUE_DENSITY_CAP
pair_041,SetA,377.178171218729,679.0484563009845,-1,8.575314649139962,0,0,0,RESCUE_DENSITY_CAP
pair_042,SetA,668.4494920156358,568.0786817680777,-1,10.952475432637446,0,0,0,RESCUE_DENSITY_CAP
pair_043,SetA,564.7977986922531,533.8204042709664,-1,84.8378698688767,0,0,0,RESCUE_DENSITY_CAP
pair_044,SetA,488.5538592082335,610.1011136314564,-1,7.115114645101253,0,0,0,RESCUE_DENSITY_CAP
pair_045,SetA,375.918386738488,572.8570018542118,45,4.778350563782145,0,1,1,RETRIEVED_TOP100
pair_046,SetA,443.0353460101062,368.1839792604088,-1,25.18513101153916,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_047,SetA,500.265199440106,488.8036102103926,0,2.1943857099403576,1,1,1,RETRIEVED_TOP100
pair_048,SetA,372.2592562218046,453.5909777894977,37,3.3996165482527565,0,1,1,RETRIEVED_TOP100
pair_049,SetA,435.9720122977421,504.35336785436,0,0.9752088515157816,1,1,1,RETRIEVED_TOP100
pair_050,SetA,523.0402884416775,624.2321491754209,-1,16.956122174644907,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_051,SetA,583.0687185699024,574.3139849533147,3,1.6465533809642758,1,1,1,RETRIEVED_TOP100
pair_052,SetA,580.7489974922584,537.8446461986192,33,3.353901898548752,0,1,1,RETRIEVED_TOP100
pair_053,SetA,481.9060221764303,519.3259577042813,0,1.2849593358857418,1,1,1,RETRIEVED_TOP100
pair_054,SetA,524.3944849087668,385.2139829045786,-1,7.502405291648172,0,0,0,RESCUE_DENSITY_CAP
pair_055,SetA,404.9636330057472,391.4923593167131,0,0.5089416681693442,1,1,1,RETRIEVED_TOP100
pair_056,SetA,503.63453564902574,449.4331566071532,-1,8.15954456107348,0,0,0,RESCUE_SCALE_ROT_MISMATCH
pair_057,SetA,551.3003772449036,447.9003532222361,2,2.4697160910593534,1,1,1,RETRIEVED_TOP100
pair_058,SetA,409.69162392649287,578.3278051888444,84,3.984691831567615,0,0,1,RETRIEVED_TOP100
pair_059,SetA,614.5899867242111,423.4540121109193,9,2.8611549830440937,1,1,1,RETRIEVED_TOP100
