Perturbation,Level,Acc_le1px,Acc_le5px,Acc_le10px,Mean_Err,Median_Err,P95_Err,Mean_Lat_ms
Poisson_Shot_Noise,50.0,0.0,0.0,0.0,315.05,299.06,530.49,72.79
Poisson_Shot_Noise,30.0,0.0,0.0,0.0,388.33,426.57,644.59,58.18
Poisson_Shot_Noise,15.0,0.0,0.0,0.0,545.86,603.35,813.64,59.68
Poisson_Shot_Noise,5.0,0.0,0.0,0.0,375.21,291.15,748.77,58.23
Defocus_Blur,0.5,0.0,0.0,0.0,359.3,361.8,651.27,58.43
Defocus_Blur,1.0,0.0,0.0,0.0,366.07,361.72,651.27,57.89
Defocus_Blur,1.8,0.0,0.0,0.0,363.48,326.62,691.1,60.79
Defocus_Blur,2.5,0.0,0.0,0.0,368.38,368.87,691.08,59.41
Gaussian_Detector_Noise,0.01,0.0,0.0,0.0,367.09,362.8,651.28,63.82
Gaussian_Detector_Noise,0.03,0.0,0.0,0.0,321.83,327.54,561.63,59.15
Gaussian_Detector_Noise,0.05,0.0,0.0,0.0,350.38,339.4,615.83,59.27
Gaussian_Detector_Noise,0.08,0.0,0.0,0.0,337.7,258.08,716.45,57.72
Surface_Charging,0.005,0.0,0.0,0.0,340.14,347.51,567.74,60.36
Surface_Charging,0.015,0.0,0.0,0.0,371.54,371.17,710.34,56.32
Surface_Charging,0.03,0.0,0.0,0.0,367.44,406.72,580.62,61.13
Surface_Charging,0.05,0.0,0.0,0.0,342.03,284.69,646.83,57.73
Rotation_Angle,0.0,33.33,50.0,50.0,203.89,80.19,623.22,63.99
Rotation_Angle,0.5,25.0,66.67,66.67,104.4,2.17,458.59,64.59
Rotation_Angle,1.5,8.33,16.67,41.67,218.47,160.65,565.4,64.29
Rotation_Angle,3.0,0.0,0.0,16.67,296.08,256.33,672.67,67.99
