pair_id,set_type,ground_truth_found,predicted_found,score,x,y,theta,scale,localization_error,failure_type,correct
pair_000,SetA,1,1,0.5199682482003352,573.115717539791,473.496728066201,1.0,8.899999999999999,74.97474761516311,PERIODIC_REPLICA,0
pair_001,SetA,1,1,0.5637311993650929,510.6131247764575,523.6035079632456,-0.75,11.699999999999998,137.22246948939585,PERIODIC_REPLICA,0
pair_002,SetA,1,1,0.4141169733065802,444.5370298595493,316.4968255976977,-2.0,11.699999999999998,166.25388800139956,PERIODIC_REPLICA,0
pair_003,SetA,1,1,0.5484420251886377,599.9880251566718,660.0636104966195,-2.0,8.799999999999999,16.201144798307155,PERIODIC_REPLICA,0
pair_004,SetA,1,1,0.4730977328337961,547.8066361253648,506.0407252118756,3.25,11.9,12.512722001034723,PERIODIC_REPLICA,0
pair_005,SetA,1,1,0.5122487993648904,467.0032466331452,374.09644277785816,1.5,9.699999999999998,25.877409432218737,PERIODIC_REPLICA,0
pair_006,SetA,1,0,0.6481529125273873,0.0,0.0,0.0,0.0,-1.0,PRESENCE_FALSE_NEGATIVE,0
pair_007,SetA,1,1,0.5452051761147791,460.36086287852726,522.9463315120665,4.75,11.3,133.55292274523748,PERIODIC_REPLICA,0
pair_008,SetA,1,1,0.4599621927801871,406.5202538263622,449.48112301783937,-3.0,8.999999999999998,15.97848956300139,PERIODIC_REPLICA,0
pair_009,SetA,1,1,0.5612656723807249,562.8284662421587,430.0641304263631,-2.0,9.999999999999998,0.17622811253794268,SUBPIXEL_SUCCESS,1
pair_010,SetA,1,1,0.4096019383467628,417.5218704023696,379.4062796185926,-4.75,11.999999999999998,0.42669856946362805,SUBPIXEL_SUCCESS,1
pair_011,SetA,1,1,0.5952313425698441,418.6794895011236,570.9499875886457,-2.0,8.899999999999999,0.694048617067231,SUBPIXEL_SUCCESS,1
pair_012,SetA,1,1,0.5464753708479466,403.4654404358319,355.50925214630627,4.0,9.199999999999998,177.59233779671717,PERIODIC_REPLICA,0
pair_013,SetA,1,1,0.5277254445094568,500.3909870229002,539.9612917530658,-1.0,11.7,140.35586622058952,PERIODIC_REPLICA,0
pair_014,SetA,1,1,0.4722768225285416,576.0030713297199,386.1018469576957,-1.5,10.9,220.64120628369204,PERIODIC_REPLICA,0
pair_015,SetA,1,1,0.5776457908111314,568.771626592119,421.1951628873486,-2.5,11.599999999999998,0.35554720474561635,SUBPIXEL_SUCCESS,1
pair_016,SetA,1,1,0.4704415777191705,477.51370560185046,576.5563832819838,0.5,10.099999999999998,9.57563927300029,PERIODIC_REPLICA,0
pair_017,SetA,1,1,0.5127076017498471,378.0034432693394,497.92465382395454,4.0,9.099999999999998,178.7598560863193,PERIODIC_REPLICA,0
pair_018,SetA,1,1,0.5168014859599891,457.49364256608885,535.5062869049654,0.5,9.199999999999998,176.44304743172896,PERIODIC_REPLICA,0
pair_019,SetA,1,1,0.574830029635719,462.7685501481225,460.2245123230618,2.75,8.599999999999998,0.27131330835779993,SUBPIXEL_SUCCESS,1
pair_020,SetA,1,1,0.5303675693565895,410.0039817668831,465.073609715175,2.0,9.3,50.43914339841228,PERIODIC_REPLICA,0
pair_021,SetA,1,1,0.5779370721779525,465.07633415364216,532.2068154620623,0.75,11.599999999999998,0.08752057112956634,SUBPIXEL_SUCCESS,1
pair_022,SetA,1,1,0.476504593125422,445.60577676205935,353.6746568426011,-2.75,10.3,0.39951429377187575,SUBPIXEL_SUCCESS,1
pair_023,SetA,1,1,0.5905239397105569,529.6165578311718,546.1413792937503,5.0,9.3,172.8218744688065,PERIODIC_REPLICA,0
pair_024,SetA,1,1,0.4655628645157406,579.010296889668,470.0118918862556,4.0,9.4,264.704214370105,PERIODIC_REPLICA,0
pair_025,SetA,1,1,0.5007406715471074,527.9220325028193,650.9511937202001,-3.5,11.199999999999998,201.29158026373344,PERIODIC_REPLICA,0
pair_026,SetA,1,1,0.4485169966153616,514.0184841479609,617.9732346275631,-3.5,11.9,0.06633825368605233,SUBPIXEL_SUCCESS,1
pair_027,SetA,1,1,0.5298042441536911,477.26998833861074,407.4456887381945,-4.75,10.3,127.09260342940792,PERIODIC_REPLICA,0
pair_028,SetA,1,1,0.5232987930740746,478.03931429603983,439.9295877317294,1.0,11.599999999999998,0.13526806355476723,SUBPIXEL_SUCCESS,1
pair_029,SetA,1,1,0.5365740484733934,512.2842882745626,434.5926682515867,-2.25,11.199999999999998,184.26000567518676,PERIODIC_REPLICA,0
pair_030,SetA,1,1,0.4852766907799964,604.0073866316783,532.0312523824255,4.25,10.199999999999998,185.52983250501134,PERIODIC_REPLICA,0
pair_031,SetA,1,1,0.510183365600111,520.3273813870788,808.5316116805357,-0.75,11.699999999999998,284.4697347213798,PERIODIC_REPLICA,0
pair_032,SetA,1,1,0.5130304079205767,471.0456714552889,488.084291928738,-4.75,10.9,0.048043423677732754,SUBPIXEL_SUCCESS,1
