pair_id,set_type,gt_x,gt_y,gt_scale,gt_theta,est_scale,est_theta,raw_gt_available,candidate_top10,candidate_top20,candidate_top50,candidate_top100,candidate_top200,candidate_top500,gt_rank,rank1_error,oracle_error,final_error,winner_found,winner_score,failure_category,retrieval_group
pair_000,SetA,571.9958979375593,398.53034370617024,8.906189684526892,0.9442014439113252,8.899999999999999,1.0,1,0,0,0,0,0,0,-1,74.97474761516311,999.0,74.97474761516311,1,0.6101509452464546,RETRIEVAL_MISSING,C
pair_001,SetA,373.394215556507,522.6150317343146,11.638779542655634,-0.4391901454174718,11.699999999999998,-0.75,1,1,1,1,1,1,1,1,137.22246948939585,0.4204336101119137,137.22246948939585,1,0.6338387301623284,RANKING_FAILURE,A
pair_002,SetA,506.9538393948501,470.58932107692567,11.693066826665689,-1.96306686038372,11.699999999999998,-2.0,1,0,0,0,0,0,0,-1,166.25388800139953,999.0,-1.0,0,0.5499092846384125,PRESENCE_FALSE_REJECTION,C
pair_003,SetA,607.6968809170181,645.8140267959674,8.839181877687723,-1.9612051475025936,8.799999999999999,-2.0,1,0,0,0,0,1,1,186,16.201144798307155,3.6840284660501856,16.201144798307155,1,0.6577676964714211,RETRIEVAL_CAP,B
pair_004,SetA,560.304385883243,505.4287915025294,11.883563444564494,3.166196187846392,11.9,3.25,1,0,0,0,0,0,1,338,12.51272200103472,0.6834661875146069,-1.0,0,0.5631683030109194,PRESENCE_FALSE_REJECTION,B
pair_005,SetA,492.8803672127779,373.9741749168665,9.67770248526582,1.4039346441119367,9.699999999999998,1.5,1,0,0,0,1,1,1,58,25.877409432218737,3.567264935873867,25.877409432218737,1,0.6408793995232035,RETRIEVAL_CAP,B
pair_006,SetA,575.80239958051,444.3205630964013,11.548438869676003,1.233058771464365,11.499999999999998,1.25,1,0,0,0,0,0,1,453,246.29378554927612,3.3867299545355416,-1.0,0,0.5455523078534109,PRESENCE_FALSE_REJECTION,B
pair_007,SetA,593.4639558322576,511.994170997082,11.214641544183095,4.7282918969867005,11.3,4.75,1,0,0,1,1,1,1,32,133.55292274523748,0.964707540731454,133.55292274523748,1,0.6561090628765007,RANKING_FAILURE,A
pair_008,SetA,422.47519132408166,450.34835894814296,9.062300399015344,-3.1231085800771217,8.999999999999998,-3.0,1,1,1,1,1,1,1,10,15.97848956300139,3.992837853703471,-1.0,0,0.5623149137877177,PRESENCE_FALSE_REJECTION,A
pair_009,SetA,563.0039110938745,430.0475336900847,9.915692453712564,-2.092745529252402,9.999999999999998,-2.0,1,1,1,1,1,1,1,1,0.1762281125379426,0.1762281125379426,0.1762281125379426,1,0.6503658851566008,SUBPIXEL_SUCCESS,A
pair_010,SetA,417.9476615652271,379.3784667651839,11.94919413625179,-4.839363895218075,11.999999999999998,-4.75,1,1,1,1,1,1,1,7,0.426698569463628,0.426698569463628,-1.0,0,0.55351705120813,PRESENCE_FALSE_REJECTION,A
pair_011,SetA,419.3732733102879,570.9308170645421,8.841315001420835,-1.910659252690412,8.899999999999999,-2.0,1,1,1,1,1,1,1,1,0.6940486170672878,0.6940486170672878,0.6940486170672878,1,0.6474195093437901,SUBPIXEL_SUCCESS,A
pair_012,SetA,415.3336028778185,532.7045826839757,9.18916009698428,3.859945557946375,9.199999999999998,4.0,1,0,1,1,1,1,1,17,177.59233779671715,0.5760196649125529,177.59233779671715,1,0.6380652897399903,RANKING_FAILURE,A
pair_013,SetA,502.2262516372216,399.6174248178575,11.81164656207016,-1.0289295566959034,11.7,-1.0,1,1,1,1,1,1,1,1,140.35586622058952,0.2694548904580796,140.35586622058952,1,0.6237838546680337,RANKING_FAILURE,A
pair_014,SetA,553.5988731132766,605.6026301285106,10.912291628466969,-1.558736066139066,10.9,-1.5,1,0,0,0,0,0,0,-1,220.64120628369204,999.0,-1.0,0,0.521688356273652,PRESENCE_FALSE_REJECTION,C
pair_015,SetA,569.1270705065555,421.203732513507,11.607515229888552,-2.364970964816345,11.599999999999998,-2.5,1,1,1,1,1,1,1,9,0.3555472047456163,0.3555472047456163,0.3555472047456163,1,0.6627904141923848,SUBPIXEL_SUCCESS,A
pair_016,SetA,477.5328038616003,586.1320035095774,10.057211825069125,0.4332513476194233,10.099999999999998,0.5,1,0,0,1,1,1,1,31,9.57563927300029,0.1451503157463195,9.57563927300029,1,0.5884778435638447,RANKING_FAILURE,A
pair_017,SetA,536.4555630659518,415.1719385817246,8.97877119378156,4.067509923316584,9.099999999999998,4.0,1,0,0,0,0,0,1,357,178.75985608631927,3.5326684732123907,178.75985608631927,1,0.623069111771593,RETRIEVAL_CAP,B
pair_018,SetA,633.8302029584735,529.3771388419595,9.186375492262773,0.2863939901769177,9.199999999999998,0.5,1,0,0,0,0,0,0,-1,176.44304743172896,999.0,176.44304743172896,1,0.6337589689993361,RETRIEVAL_MISSING,C
pair_019,SetA,462.50661641112623,460.2952345169986,8.635375579086986,2.663031107598837,8.599999999999998,2.75,1,0,1,1,1,1,1,18,0.2713133083578548,0.2713133083578548,0.2713133083578548,1,0.6578444712569598,SUBPIXEL_SUCCESS,A
pair_020,SetA,359.5974759091987,466.8878186295023,9.27796825375544,2.0226480356539795,9.3,2.0,1,0,0,0,0,1,1,115,50.43914339841228,0.9291412384503304,50.43914339841228,1,0.6283234098923066,RETRIEVAL_CAP,B
pair_021,SetA,465.1522506975749,532.2503646150753,11.629387930389385,0.4990413804596425,11.599999999999998,0.75,1,1,1,1,1,1,1,1,0.0875205711295663,0.0875205711295663,0.0875205711295663,1,0.6538070028981274,SUBPIXEL_SUCCESS,A
pair_022,SetA,445.9727890984229,353.832497318668,10.391533850352392,-2.685361800417768,10.3,-2.75,1,0,1,1,1,1,1,12,0.3995142937718757,0.3995142937718757,-1.0,0,0.5657639953032997,PRESENCE_FALSE_REJECTION,A
pair_023,SetA,357.48726056680914,561.5979415955231,9.291776682617442,4.990622514138881,9.3,5.0,1,1,1,1,1,1,1,4,172.8218744688065,0.6238907960342598,172.8218744688065,1,0.6841178131187362,RANKING_FAILURE,A
pair_024,SetA,366.6139153673995,627.9868842791703,9.3812787187611,3.869408942649408,9.4,4.0,1,0,0,0,0,0,0,-1,264.704214370105,999.0,-1.0,0,0.5537748352086466,PRESENCE_FALSE_REJECTION,C
pair_025,SetA,379.1116367088906,515.4013269230493,11.18954160630585,-3.431483293770268,11.199999999999998,-3.5,1,1,1,1,1,1,1,1,201.29158026373344,0.4521771295816981,201.29158026373344,1,0.6210209908434955,RANKING_FAILURE,A
pair_026,SetA,514.0043003399667,617.9084304340807,11.9648696305921,-3.585881739831249,11.9,-3.5,1,0,1,1,1,1,1,13,0.0663382536860523,0.0663382536860523,-1.0,0,0.5570729321680286,PRESENCE_FALSE_REJECTION,A
pair_027,SetA,603.9420312048406,417.7763906775965,10.122298773883395,-4.66048258530244,10.3,-4.75,1,0,1,1,1,1,1,12,127.09260342940792,4.0013526794054775,127.09260342940792,1,0.6295549572857014,RANKING_FAILURE,A
pair_028,SetA,477.91187520368914,439.8842365822546,11.559633536805816,0.9321024602343276,11.599999999999998,1.0,1,1,1,1,1,1,1,3,0.1352680635547672,0.1352680635547672,0.1352680635547672,1,0.6026789390195705,SUBPIXEL_SUCCESS,A
pair_029,SetA,505.0122385387808,618.7091177721555,11.11090566392888,-2.3827737948296948,11.199999999999998,-2.25,1,0,0,0,0,1,1,110,184.2600056751868,0.5590860526550631,184.2600056751868,1,0.6670682652288606,RETRIEVAL_CAP,B
pair_030,SetA,436.1278420959197,611.0108527600154,10.172257531768713,4.324207155868935,10.199999999999998,4.25,1,0,0,0,0,0,0,-1,185.5298325050113,999.0,-1.0,0,0.5451303897765503,PRESENCE_FALSE_REJECTION,C
pair_031,SetA,515.2050624964362,524.1079983471228,11.700371578194344,-0.020471544724149,11.699999999999998,-0.75,1,0,0,0,0,0,0,-1,284.4697347213798,999.0,284.4697347213798,1,0.6149478727147625,RETRIEVAL_MISSING,C
pair_032,SetA,471.0536823948475,488.1316627573783,10.888322891579843,-4.869952589708113,10.9,-4.75,1,0,1,1,1,1,1,12,0.0480434236777888,0.0480434236777888,-1.0,0,0.5699630377039611,PRESENCE_FALSE_REJECTION,A
pair_033,SetA,506.487300176383,415.4853036556477,8.970497872643154,1.726119277170028,8.999999999999998,1.75,1,1,1,1,1,1,1,1,0.5004758160357746,0.5004758160357746,0.5004758160357746,1,0.6625717256636113,SUBPIXEL_SUCCESS,A
pair_034,SetA,600.6392691360397,427.2759208637932,8.854218054076412,4.316875712055294,8.899999999999999,4.25,1,0,0,0,0,0,0,-1,179.48838794177342,999.0,-1.0,0,0.5416927990894449,PRESENCE_FALSE_REJECTION,C
pair_035,SetA,381.3987859700967,390.8476615420415,11.019563374324209,2.284448469865895,11.099999999999998,2.25,1,1,1,1,1,1,1,1,0.6283996155478113,0.6283996155478113,0.6283996155478113,1,0.6720239077464805,SUBPIXEL_SUCCESS,A
pair_036,SetA,369.9263348959626,591.9291431014253,11.018218160766835,3.480580895971622,10.999999999999998,3.5,1,0,0,0,0,0,0,-1,56.24154406295986,999.0,-1.0,0,0.5243894594642634,PRESENCE_FALSE_REJECTION,C
pair_037,SetA,637.3473505721319,414.3333441028385,10.623152214873231,-4.200476510529054,10.599999999999998,-4.25,1,1,1,1,1,1,1,1,0.2286298111153379,0.2286298111153379,0.2286298111153379,1,0.6524597201230561,SUBPIXEL_SUCCESS,A
pair_038,SetA,363.5338391870325,490.2092338110844,9.3118251640608,-3.653932826138152,9.3,-3.75,1,0,0,0,0,1,1,130,231.9335939784268,0.2792062485173231,231.9335939784268,1,0.6206628104774224,RETRIEVAL_CAP,B
pair_039,SetA,414.3196668371812,445.5629858295304,9.890619445668792,-3.710332560180011,9.999999999999998,-3.75,1,1,1,1,1,1,1,4,161.7219399342584,1.0822713122761445,161.7219399342584,1,0.6472445824926848,RANKING_FAILURE,A
pair_040,SetA,630.593738588206,591.0880887782025,11.350862475242376,3.903935329654246,11.3,3.75,1,0,0,0,0,0,0,-1,147.96831472162478,999.0,-1.0,0,0.5598116110477179,PRESENCE_FALSE_REJECTION,C
pair_041,SetA,377.178171218729,679.0484563009845,8.226955404952816,-0.5408819397149713,8.2,-0.5,1,1,1,1,1,1,1,1,0.0890920938011079,0.0890920938011079,0.0890920938011079,1,0.7006898789290725,SUBPIXEL_SUCCESS,A
pair_042,SetA,668.4494920156358,568.0786817680777,9.000358492156733,2.991798624278717,8.999999999999998,3.0,1,0,0,0,0,0,0,-1,269.19559405156315,999.0,269.19559405156315,1,0.5833826767098442,RETRIEVAL_MISSING,C
pair_043,SetA,564.7977986922531,533.8204042709664,9.182870746798272,0.2819874965089788,9.199999999999998,0.5,1,0,0,0,0,0,1,347,153.40954038415398,3.2909342510624464,153.40954038415398,1,0.6477671940218258,RETRIEVAL_CAP,B
pair_044,SetA,488.5538592082335,610.1011136314564,11.6117267036346,2.024734924987392,11.599999999999998,2.0,1,0,0,0,1,1,1,91,70.20322170931001,4.048427944003007,-1.0,0,0.5786050900270997,PRESENCE_FALSE_REJECTION,B
pair_045,SetA,375.918386738488,572.8570018542118,10.270378923458068,-4.883125662127704,10.3,-4.75,1,0,0,0,1,1,1,59,159.26554983941477,0.6566335136247657,159.26554983941477,1,0.6560459547353018,RETRIEVAL_CAP,B
pair_046,SetA,443.0353460101062,368.1839792604088,11.237285430720764,1.4093359125804108,11.2,1.25,1,0,0,0,0,0,0,-1,171.93574032920688,999.0,-1.0,0,0.5699931774743737,PRESENCE_FALSE_REJECTION,C
pair_047,SetA,500.265199440106,488.8036102103926,9.357290086822433,2.7607654897620986,9.4,2.75,1,1,1,1,1,1,1,1,0.2280845461975968,0.2280845461975968,0.2280845461975968,1,0.6335033411078265,SUBPIXEL_SUCCESS,A
pair_048,SetA,372.2592562218046,453.5909777894977,11.445229253128096,-2.59256056644938,11.3,-2.5,1,0,0,0,0,1,1,105,222.22301347737744,0.7747242695349511,-1.0,0,0.5545570432323442,PRESENCE_FALSE_REJECTION,B
pair_049,SetA,435.9720122977421,504.35336785436,11.043312398715264,2.476389759948237,11.099999999999998,2.25,1,1,1,1,1,1,1,1,144.97164160160582,0.5607877569733722,144.97164160160582,1,0.6664072855985458,RANKING_FAILURE,A
pair_050,SetA,523.0402884416775,624.2321491754209,8.089668815387185,-1.9794628658522848,8.1,-2.0,1,0,0,0,0,1,1,118,41.5314605891537,4.410932100139532,41.5314605891537,1,0.644481707305921,RETRIEVAL_CAP,B
pair_051,SetA,583.0687185699024,574.3139849533147,11.370716893964577,-2.353607991482547,11.499999999999998,-2.5,1,1,1,1,1,1,1,2,140.92970838778612,0.7274001506672885,140.92970838778612,1,0.6088247753122261,RANKING_FAILURE,A
pair_052,SetA,580.7489974922584,537.8446461986192,10.605906230985118,-0.2259390849582887,10.599999999999998,-0.5,1,0,0,1,1,1,1,34,3.247564672695709,3.247564672695709,3.247564672695709,1,0.5875577748655983,IN_BOUNDS_SUCCESS,A
pair_053,SetA,481.9060221764303,519.3259577042813,11.48485682947156,-4.79218862579125,11.599999999999998,-5.0,1,1,1,1,1,1,1,1,1.9308630498059716,1.9308630498059716,1.9308630498059716,1,0.627731008163988,IN_BOUNDS_SUCCESS,A
pair_054,SetA,524.3944849087668,385.2139829045786,10.565138816770448,3.704011487591906,10.499999999999998,3.5,1,1,1,1,1,1,1,5,0.1499745788864431,0.1499745788864431,-1.0,0,0.5234159694238296,PRESENCE_FALSE_REJECTION,A
pair_055,SetA,404.9636330057472,391.4923593167131,11.509638262345018,-0.9302061852871022,11.499999999999998,-1.0,1,1,1,1,1,1,1,1,0.5406694048784456,0.5406694048784456,0.5406694048784456,1,0.6616084037956476,SUBPIXEL_SUCCESS,A
pair_056,SetA,503.63453564902574,449.4331566071532,9.09806019061035,-2.247483619682887,9.099999999999998,-2.25,1,0,0,0,0,0,0,-1,40.23605558767362,999.0,40.23605558767362,1,0.642245528707264,RETRIEVAL_MISSING,C
pair_057,SetA,551.3003772449036,447.9003532222361,8.676415774304342,-0.5151535649115733,8.599999999999998,-0.5,1,1,1,1,1,1,1,1,0.2261698288517624,0.2261698288517624,0.2261698288517624,1,0.6503261261325558,SUBPIXEL_SUCCESS,A
pair_058,SetA,409.69162392649287,578.3278051888444,8.065466782548414,-0.6158249936142601,8.0,-0.75,1,0,0,0,0,0,0,-1,381.0710513935537,999.0,381.0710513935537,1,0.6143845842276462,RETRIEVAL_MISSING,C
pair_059,SetA,614.5899867242111,423.4540121109193,8.319051125201149,1.210202873325362,8.399999999999999,1.25,1,1,1,1,1,1,1,1,0.0522836254505272,0.0522836254505272,0.0522836254505272,1,0.5949893806158119,SUBPIXEL_SUCCESS,A
pair_060,SetA,560.1155584056785,517.980210360295,11.161132102027924,-2.3057867458450043,11.199999999999998,-2.25,1,0,0,0,0,0,0,-1,20.64325080474092,999.0,-1.0,0,0.5640770346983935,PRESENCE_FALSE_REJECTION,C
