pair_id,set_type,gt_x,gt_y,gt_present_in_top50,gt_rank_in_pool,win_x,win_y,win_error,gt_corr_score,win_corr_score,diff_corr_score,gt_psr,win_psr,diff_psr,gt_phase_residual,win_phase_residual,diff_phase_residual,gt_phase_penalty,win_phase_penalty,diff_phase_penalty,gt_context_32,win_context_32,diff_context_32,gt_context_64,win_context_64,diff_context_64,gt_context_128,win_context_128,diff_context_128,gt_context_combined,win_context_combined,diff_context_combined,gt_ssd,win_ssd,diff_ssd,gt_dist_to_center,win_dist_to_center,diff_dist_to_center,gt_nearest_edge_dist,win_nearest_edge_dist,diff_nearest_edge_dist,gt_nearest_cut_dist,win_nearest_cut_dist,diff_nearest_cut_dist,gt_row_spacing,win_row_spacing,diff_row_spacing,gt_col_spacing,win_col_spacing,diff_col_spacing,gt_local_density,win_local_density,diff_local_density,gt_family_population,win_family_population,diff_family_population
pair_000,SetA,571.9958979375593,398.53034370617024,0,-1,576.0,641.0,242.502715565361,,0.840872585773468,,,2.8378562927246094,,,0.06407401710748672,,,0.05,,,0.7310169625742551,,,0.686364354569052,,,0.6687271432217669,,,0.6882399916311785,,,2202.4560546875,,,160.17802595861892,,,0.0,,,2.23606797749979,,,3.0,,,11.0,,,80.55224609375,,,13,
pair_001,SetA,373.394215556507,522.6150317343146,1,1,373.5,522.5,0.15627747241540102,0.8823164701461792,0.8823164701461792,0.0,2.7388968467712402,2.7388968467712402,0.0,0.11515791714191437,0.11515791714191437,0.0,0.05,0.05,0.0,0.8498887679767699,0.8498887679767699,0.0,0.7947987321160288,0.7947987321160288,0.0,0.8070926984426683,0.8070926984426683,0.0,0.8107343258188329,0.8107343258188329,0.0,1784.3585205078125,1784.3585205078125,0.0,128.4854077317732,128.4854077317732,0.0,1.5811388300841898,1.5811388300841898,0.0,0.7071067811865476,0.7071067811865476,0.0,2.0,2.0,0.0,2.0,2.0,0.0,97.681640625,97.681640625,0.0,50.0,50,0.0
pair_003,SetA,607.6968809170181,645.8140267959674,0,-1,252.0,880.0,425.8677507626226,,0.8644014596939087,,,1.7928823232650757,,,0.03895130753517151,,,0.16249999999999998,,,0.8408337685474311,,,0.8394744584315583,,,0.8417818638043578,,,0.8406692826038527,,,1936.3056640625,,,453.76645975655805,,,1.0,,,4.0,,,29.0,,,29.0,,,115.115234375,,,3,
pair_005,SetA,492.8803672127779,373.9741749168665,0,-1,466.5,374.5,26.38560718079196,,0.8726896047592163,,,1.9162007570266724,,,0.044068291783332825,,,0.05,,,0.6950503662273401,,,0.6113302021170289,,,0.7885744505749765,,,0.6989719343222702,,,1920.154541015625,,,129.89418770676386,,,0.7071067811865476,,,4.527692569068709,,,10.0,,,211.0,,,114.337646484375,,,11,
pair_007,SetA,593.4639558322576,511.994170997082,1,34,750.0,499.0,157.0744460553237,0.849291205406189,0.8614166378974915,-0.01212543249130249,2.3040175437927246,2.3414292335510254,-0.03741168975830078,0.07133395224809647,0.061393044888973236,0.00994090735912323,0.05,0.05,0.0,0.7449420047438757,0.731639017080392,0.0133029876634837,0.7754373290554021,0.7989910559271398,-0.023553726871737735,0.8135914172317772,0.830109541339212,-0.016518124107434806,0.7845998994636469,0.7979680423226192,-0.013368142858972254,1901.9063720703125,1792.481689453125,109.4246826171875,93.7709976485267,250.00199999200007,-156.23100234347336,1.4142135623730951,1.4142135623730951,0.0,1.0,1.0,0.0,11.0,11.0,0.0,2.0,2.0,0.0,116.630859375,116.98583984375,-0.35498046875,5.0,16,-11.0
pair_012,SetA,415.3336028778185,532.7045826839757,1,14,403.5,355.5,177.59926317772798,0.8039388656616211,0.821050226688385,-0.017111361026763916,2.629101514816284,2.6907403469085693,-0.061638832092285156,0.06337057799100876,0.07748426496982574,-0.014113686978816986,0.05,0.05,0.0,0.7632597295556148,0.7193223169749418,0.043937412580673074,0.6877297175083943,0.8247063589647932,-0.13697664145639887,0.6376887109163724,0.8141139608726504,-0.17642524995627806,0.6828193172810297,0.7993925913299659,-0.11657327404893614,2446.197509765625,2312.71435546875,133.483154296875,90.53452380169678,173.75989180475452,-83.22536800305774,0.7071067811865476,0.7071067811865476,0.0,0.7071067811865476,0.7071067811865476,0.0,2.0,2.0,0.0,18.0,2.0,16.0,80.55810546875,81.1064453125,-0.54833984375,11.0,23,-12.0
pair_013,SetA,502.2262516372216,399.6174248178575,1,1,502.5,399.5,0.2978703643747182,0.8775079250335693,0.8775079250335693,0.0,2.2005858421325684,2.2005858421325684,0.0,0.12003873288631439,0.12003873288631439,0.0,0.05,0.05,0.0,0.6677576273265134,0.6677576273265134,0.0,0.7536428188798707,0.7536428188798707,0.0,0.6775381342724918,0.6775381342724918,0.0,0.7060239067262477,0.7060239067262477,0.0,1762.365966796875,1762.365966796875,0.0,100.53108971855423,100.53108971855423,0.0,1.5811388300841898,1.5811388300841898,0.0,3.5355339059327378,3.5355339059327378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.4404296875,115.4404296875,0.0,1.0,1,0.0
pair_016,SetA,477.5328038616003,586.1320035095774,1,37,479.5,853.5,267.3752333480974,0.7733441591262817,0.8069173097610474,-0.033573150634765625,2.4301533699035645,2.5817618370056152,-0.15160846710205078,0.061823826283216476,0.07657739520072937,-0.014753568917512894,0.05,0.16249999999999998,-0.11249999999999998,0.1786592254204508,0.7749047168382428,-0.596245491417792,0.678594243658577,0.536454536340721,0.14213970731785597,0.5270889538918512,0.6057947218495067,-0.07870576795765549,0.5180051241042615,0.6118806466437396,-0.09387552253947817,2490.399658203125,2398.31005859375,92.089599609375,89.37840902589394,354.0939140962465,-264.7155050703526,0.7071067811865476,0.7071067811865476,0.0,0.7071067811865476,0.7071067811865476,0.0,2.0,2.0,0.0,7.0,3.0,4.0,91.28271484375,91.320556640625,-0.037841796875,47.0,47,0.0
pair_017,SetA,536.4555630659518,415.1719385817246,0,-1,337.0,72.0,396.92505724367516,,0.8255913257598877,,,1.7190861701965332,,,0.03480927646160126,,,0.2,,,0.8408903195851422,,,0.7634809591171041,,,0.7974462681124493,,,0.7925489548088499,,,2134.488037109375,,,457.98799110893725,,,1.0,,,0.0,,,14.0,,,13.0,,,109.28466796875,,,8,
pair_018,SetA,633.8302029584735,529.3771388419595,0,-1,929.5,99.5,521.742257615316,,0.829234778881073,,,2.1506223678588867,,,0.03883111849427223,,,0.05,,,0.609941720411106,,,0.8064833846672496,,,0.7971157880791954,,,0.7634280131807992,,,2260.76123046875,,,587.2567581560896,,,0.7071067811865476,,,2.1213203435596424,,,8.0,,,0.0,,,97.733154296875,,,2,
